,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,31.0,81.0,0.0,0.0,38.84,31.49,4.0
13,4200,23.2,79.2,0.0,0.0,38.84,31.5,3.0
14,4500,16.333333333333332,76.0,0.0,0.0,38.85,31.5,3.0
15,4800,36.666666666666664,81.33333333333333,0.0,0.0,38.85,31.5,4.333333333333333
16,5100,33.0,83.5,0.0,0.0,38.85,31.5,5.5
17,5400,34.0,81.0,0.0,0.0,38.86,31.5,5.0
18,5700,38.6,82.4,0.0,0.0,38.862,31.51,3.8
19,6000,31.0,80.0,0.0,0.0,38.87,31.51,3.3333333333333335
20,6300,20.5,78.0,0.0,0.0,38.87,31.52,2.5
21,6600,27.666666666666668,79.66666666666667,0.0,0.0,38.876666666666665,31.52,6.0
22,6900,32.666666666666664,82.33333333333333,0.0,0.0,38.88,31.52,4.0
23,7200,33.0,83.66666666666667,0.0,0.0,38.88333333333333,31.526666666666667,6.0
24,7500,31.75,83.5,0.0,0.0,38.89,31.53,5.0
25,7800,31.0,83.0,0.0,0.0,38.89,31.53,3.0
26,8100,34.666666666666664,87.0,0.0,0.0,38.9,31.540000000000003,6.333333333333333
27,8400,29.5,84.0,0.0,0.0,38.905,31.54,4.0
28,8700,30.5,83.0,0.0,0.0,38.91,31.54,6.0
29,9000,31.5,83.0,0.0,0.0,38.91,31.55,7.0
30,9300,33.5,81.0,0.0,0.0,38.92,31.55,3.75
31,9600,25.5,80.5,0.0,0.0,38.92,31.55,4.5
32,9900,25.5,80.5,0.0,0.0,38.92,31.55,4.5
33,10200,25.5,80.5,0.0,0.0,38.92,31.55,4.5
34,10500,25.5,80.5,0.0,0.0,38.92,31.55,4.5
35,10800,25.5,80.5,0.0,0.0,38.92,31.55,4.5
36,11100,25.5,80.5,0.0,0.0,38.92,31.55,4.5
37,11400,33.0,87.33333333333333,0.0,0.0,38.95333333333334,31.570000000000004,7.0
38,11700,27.0,83.33333333333333,0.0,0.0,38.96,31.570000000000004,4.0
39,12000,26.0,81.5,0.0,0.0,38.96,31.57,4.0
40,12300,30.571428571428573,81.85714285714286,0.0,0.0,38.96999999999999,31.577142857142853,4.571428571428571
41,12600,38.0,87.5,0.0,0.0,38.97,31.58,6.25
42,12900,28.2,83.4,0.0,0.0,38.98,31.579999999999995,5.6
43,13200,28.0,82.5,0.0,0.0,38.98,31.58,5.0
44,13500,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
45,13800,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
46,14100,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
47,14400,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
48,14700,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
49,15000,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
50,15300,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
51,15600,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
52,15900,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
53,16200,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
54,16500,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
55,16800,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
56,17100,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
57,17400,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
58,17700,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
59,18000,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
60,18300,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
61,18600,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
62,18900,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
63,19200,33.333333333333336,82.66666666666667,0.0,0.0,38.98333333333333,31.59,4.666666666666667
64,19500,27.333333333333332,86.0,0.0,0.0,39.08,31.649999999999995,3.6666666666666665
65,19800,44.333333333333336,89.0,0.0,0.0,39.086666666666666,31.649999999999995,8.666666666666666
66,20100,46.333333333333336,92.66666666666667,0.0,0.0,39.093333333333334,31.653333333333332,12.0
67,20400,54.0,88.5,0.0,0.0,39.105000000000004,31.66,10.0
68,20700,49.0,87.0,0.0,0.0,39.11,31.66,12.5
69,21000,56.0,88.33333333333333,0.0,0.0,39.11666666666667,31.67,14.333333333333334
70,21300,67.0,93.0,0.0,0.0,39.12,31.67,6.0
71,21600,43.0,87.0,0.0,0.0,39.12,31.68,7.5
72,21900,51.0,88.0,0.0,0.0,39.13,31.68,4.0
73,22200,51.0,90.0,0.0,0.0,39.14,31.68,7.0
74,22500,71.75,91.5,0.0,0.0,39.15,31.69,7.75
75,22800,80.0,91.5,0.0,0.0,39.17,31.7,8.5
76,23100,83.0,92.0,0.0,0.0,39.18,31.7,7.0
77,23400,83.0,92.0,0.0,0.0,39.18,31.7,7.0
78,23700,83.0,92.0,0.0,0.0,39.18,31.7,7.0
79,24000,83.0,92.0,0.0,0.0,39.18,31.7,7.0
80,24300,83.0,92.0,0.0,0.0,39.18,31.7,7.0
81,24600,83.0,92.0,0.0,0.0,39.18,31.7,7.0
82,24900,83.0,92.0,0.0,0.0,39.18,31.7,7.0
83,25200,83.0,92.0,0.0,0.0,39.18,31.7,7.0
84,25500,83.0,92.0,0.0,0.0,39.18,31.7,7.0
85,25800,83.0,92.0,0.0,0.0,39.18,31.7,7.0
86,26100,83.0,92.0,0.0,0.0,39.18,31.7,7.0
87,26400,83.0,92.0,0.0,0.0,39.18,31.7,7.0
88,26700,83.0,92.0,0.0,0.0,39.18,31.7,7.0
89,27000,47.0,95.0,0.0,0.0,39.26,31.76,4.0
90,27300,41.333333333333336,90.33333333333333,0.0,0.0,39.26,31.76,6.333333333333333
91,27600,41.333333333333336,90.33333333333333,0.0,0.0,39.26,31.76,6.333333333333333
92,27900,40.0,91.0,0.0,0.0,39.27,31.77,4.0
93,28200,29.333333333333332,88.0,0.0,0.0,39.27333333333333,31.77333333333333,3.6666666666666665
94,28500,39.5,87.75,0.0,0.0,39.28,31.78,12.0
