,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,30.0,81.33333333333333,0.0,0.0,38.84,31.49,4.0
13,4200,27.0,80.33333333333333,0.0,0.0,38.84,31.49333333333333,3.0
14,4500,17.666666666666668,77.66666666666667,0.0,0.0,38.846666666666664,31.5,3.3333333333333335
15,4800,29.5,78.25,0.0,0.0,38.85,31.5,4.5
16,5100,33.0,84.0,0.0,0.0,38.85,31.5,5.0
17,5400,35.0,80.66666666666667,0.0,0.0,38.86,31.503333333333334,6.0
18,5700,50.0,84.0,0.0,0.0,38.86,31.51,4.0
19,6000,29.75,80.0,0.0,0.0,38.87,31.51,4.25
20,6300,27.0,79.0,0.0,0.0,38.87,31.52,3.5
21,6600,27.428571428571427,79.85714285714286,0.0,0.0,38.87571428571429,31.520000000000003,5.571428571428571
22,6900,28.0,82.0,0.0,0.0,38.88,31.52,5.0
23,7200,30.0,83.25,0.0,0.0,38.88250000000001,31.5225,3.75
24,7500,32.333333333333336,84.0,0.0,0.0,38.89,31.53,5.0
25,7800,23.0,84.66666666666667,0.0,0.0,38.89666666666667,31.53,2.6666666666666665
26,8100,32.5,85.5,0.0,0.0,38.9,31.54,10.5
27,8400,34.666666666666664,82.33333333333333,0.0,0.0,38.906666666666666,31.540000000000003,4.0
28,8700,28.4,82.4,0.0,0.0,38.91,31.54,13.8
29,9000,24.5,81.0,0.0,0.0,38.915,31.55,6.5
30,9300,33.666666666666664,81.33333333333333,0.0,0.0,38.92,31.55,4.0
31,9600,29.0,81.0,0.0,0.0,38.92,31.55,4.0
32,9900,29.0,81.0,0.0,0.0,38.92,31.55,4.0
33,10200,29.0,81.0,0.0,0.0,38.92,31.55,4.0
34,10500,29.0,81.0,0.0,0.0,38.92,31.55,4.0
35,10800,29.0,81.0,0.0,0.0,38.92,31.55,4.0
36,11100,29.0,81.0,0.0,0.0,38.92,31.55,4.0
37,11400,28.75,85.5,0.0,0.0,38.9525,31.57,6.75
38,11700,27.0,84.0,0.0,0.0,38.96,31.57,4.25
39,12000,26.8,81.4,0.0,0.0,38.966,31.57,2.8
40,12300,27.5,82.25,0.0,0.0,38.97,31.575,3.5
41,12600,36.2,87.6,0.0,0.0,38.97,31.579999999999995,4.6
42,12900,31.75,83.0,0.0,0.0,38.98,31.58,6.0
43,13200,28.0,82.0,0.0,0.0,38.98,31.58,6.0
44,13500,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
45,13800,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
46,14100,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
47,14400,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
48,14700,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
49,15000,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
50,15300,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
51,15600,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
52,15900,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
53,16200,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
54,16500,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
55,16800,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
56,17100,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
57,17400,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
58,17700,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
59,18000,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
60,18300,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
61,18600,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
62,18900,32.333333333333336,83.66666666666667,0.0,0.0,38.98666666666667,31.59,4.666666666666667
63,19200,27.0,88.0,0.0,0.0,39.08,31.65,3.0
64,19500,24.142857142857142,86.0,0.0,0.0,39.07999999999999,31.650000000000002,3.7142857142857144
65,19800,44.2,88.6,0.0,0.0,39.086,31.65,8.8
66,20100,51.666666666666664,95.66666666666667,0.0,0.0,39.096666666666664,31.656666666666666,9.333333333333334
67,20400,53.0,88.0,0.0,0.0,39.1,31.66,10.0
68,20700,49.25,87.0,0.0,0.0,39.11,31.6625,13.5
69,21000,49.25,87.0,0.0,0.0,39.11,31.6625,13.5
70,21300,46.0,88.0,0.0,0.0,39.12,31.67,7.666666666666667
71,21600,32.5,84.5,0.0,0.0,39.13,31.68,7.0
72,21900,32.5,84.5,0.0,0.0,39.13,31.68,7.0
73,22200,56.0,90.0,0.0,0.0,39.14,31.68,7.0
74,22500,69.0,92.0,0.0,0.0,39.15,31.69,10.0
75,22800,82.33333333333333,92.33333333333333,0.0,0.0,39.166666666666664,31.7,11.0
76,23100,76.0,90.0,0.0,0.0,39.18,31.7,7.0
77,23400,76.0,90.0,0.0,0.0,39.18,31.7,7.0
78,23700,76.0,90.0,0.0,0.0,39.18,31.7,7.0
79,24000,76.0,90.0,0.0,0.0,39.18,31.7,7.0
80,24300,76.0,90.0,0.0,0.0,39.18,31.7,7.0
81,24600,76.0,90.0,0.0,0.0,39.18,31.7,7.0
82,24900,76.0,90.0,0.0,0.0,39.18,31.7,7.0
83,25200,76.0,90.0,0.0,0.0,39.18,31.7,7.0
84,25500,76.0,90.0,0.0,0.0,39.18,31.7,7.0
85,25800,76.0,90.0,0.0,0.0,39.18,31.7,7.0
86,26100,76.0,90.0,0.0,0.0,39.18,31.7,7.0
87,26400,76.0,90.0,0.0,0.0,39.18,31.7,7.0
88,26700,76.0,90.0,0.0,0.0,39.18,31.7,7.0
89,27000,48.0,95.0,0.0,0.0,39.26,31.76,4.0
90,27300,46.0,91.75,0.0,0.0,39.26,31.76,5.75
91,27600,42.0,90.0,0.0,0.0,39.27,31.77,7.0
92,27900,30.333333333333332,89.33333333333333,0.0,0.0,39.27,31.77,5.333333333333333
93,28200,28.333333333333332,87.33333333333333,0.0,0.0,39.27666666666667,31.776666666666667,6.333333333333333
94,28500,39.666666666666664,86.33333333333333,0.0,0.0,39.28,31.78,8.0
95,28800,41.0,92.0,0.0,0.0,39.29,31.78,5.0
