,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,17.5,92.0,0.0,0.0,37.365,29.425000000000004,4.0
2,900,28.166666666666668,92.0,0.0,0.0,37.37,29.430000000000003,7.0
3,1200,13.0,91.0,0.0,0.0,37.37,29.43,6.0
4,1500,35.4,92.6,0.0,0.0,37.38,29.440000000000005,3.0
5,1800,19.0,95.0,0.0,0.0,37.38,29.44,3.6666666666666665
6,2100,17.75,92.25,0.0,0.0,37.39,29.44,3.25
7,2400,14.8,92.0,0.0,0.0,37.39,29.440000000000005,3.8
8,2700,17.25,95.0,0.0,0.0,37.39,29.445,3.25
9,3000,26.666666666666668,94.0,0.0,0.0,37.39666666666667,29.45,3.0
10,3300,15.5,93.0,0.0,0.0,37.4,29.45,3.5
11,3600,27.5,95.0,0.0,0.0,37.4,29.45,3.0
12,3900,35.0,95.25,0.0,0.0,37.4,29.45,7.75
13,4200,32.57142857142857,93.57142857142857,0.0,0.0,37.410000000000004,29.460000000000004,3.0
14,4500,26.142857142857142,91.14285714285714,0.0,0.0,37.410000000000004,29.460000000000004,3.0
15,4800,37.4,92.6,0.0,0.0,37.41,29.46,3.4
16,5100,37.0,85.71428571428571,0.0,0.0,37.42000000000001,29.464285714285715,4.857142857142857
17,5400,29.857142857142858,83.14285714285714,0.0,0.0,37.42000000000001,29.47,4.0
18,5700,56.8,83.8,0.0,0.0,37.426,29.47,3.4
19,6000,33.6,82.0,0.0,0.0,37.43,29.478,4.0
20,6300,17.666666666666668,80.33333333333333,0.0,0.0,37.43333333333333,29.48,4.0
21,6600,21.0,84.0,0.0,0.0,37.44,29.48,5.0
22,6900,25.5,83.0,0.0,0.0,37.45,29.49,5.0
23,7200,20.5,83.0,0.0,0.0,37.45,29.49,6.0
24,7500,37.0,85.0,0.0,0.0,37.46,29.49,5.0
25,7800,24.75,83.5,0.0,0.0,37.46,29.5,5.5
26,8100,39.5,85.0,0.0,0.0,37.47,29.5,4.5
27,8400,34.0,82.0,0.0,0.0,37.47,29.5,5.5
28,8700,28.666666666666668,81.33333333333333,0.0,0.0,37.48,29.508333333333336,4.166666666666667
29,9000,21.0,81.5,0.0,0.0,37.48,29.51,3.5
30,9300,26.0,80.0,0.0,0.0,37.49,29.51,3.25
31,9600,21.2,80.6,0.0,0.0,37.49,29.51,4.6
32,9900,20.0,79.5,0.0,0.0,37.49,29.515,3.0
33,10200,33.0,78.0,0.0,0.0,37.5,29.52,3.0
34,10500,22.0,79.25,0.0,0.0,37.5,29.52,3.5
35,10800,30.0,80.2,0.0,0.0,37.5,29.52,4.6
36,11100,25.0,81.5,0.0,0.0,37.504999999999995,29.52,3.0
37,11400,22.0,82.83333333333333,0.0,0.0,37.52,29.53,3.3333333333333335
38,11700,20.5,81.0,0.0,0.0,37.52,29.53,3.5
39,12000,20.0,80.0,0.0,0.0,37.528333333333336,29.53,3.6666666666666665
40,12300,22.333333333333332,81.33333333333333,0.0,0.0,37.53,29.53,3.3333333333333335
41,12600,27.8,83.0,0.0,0.0,37.535999999999994,29.54,4.0
42,12900,20.75,81.5,0.0,0.0,37.54,29.54,4.75
43,13200,32.6,80.6,0.0,0.0,37.54,29.54,3.4
44,13500,33.142857142857146,81.71428571428571,0.0,0.0,37.548571428571435,29.542857142857144,4.571428571428571
45,13800,27.0,82.66666666666667,0.0,0.0,37.55,29.55,3.3333333333333335
46,14100,21.75,82.5,0.0,0.0,37.555,29.55,3.5
47,14400,43.5,84.5,0.0,0.0,37.56,29.55,3.5
48,14700,27.0,84.0,0.0,0.0,37.565999999999995,29.552,4.6
49,15000,22.0,82.0,0.0,0.0,37.57,29.56,5.0
50,15300,27.0,82.0,0.0,0.0,37.57,29.56,3.0
51,15600,21.0,80.5,0.0,0.0,37.58,29.56,4.5
52,15900,26.0,83.33333333333333,0.0,0.0,37.59,29.570000000000004,4.0
53,16200,30.6,81.6,0.0,0.0,37.59,29.57,4.6
54,16500,27.0,82.33333333333333,0.0,0.0,37.59,29.570000000000004,3.6666666666666665
