,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,28.0,92.8,0.0,0.0,37.366,29.424,3.8
2,900,33.0,91.66666666666667,0.0,0.0,37.37,29.429999999999996,7.0
3,1200,29.666666666666668,93.0,0.0,0.0,37.38,29.429999999999996,4.0
4,1500,21.0,94.0,0.0,0.0,37.38,29.44,3.5
5,1800,21.0,94.625,0.0,0.0,37.38,29.44,3.625
6,2100,20.0,92.6,0.0,0.0,37.39,29.440000000000005,3.4
7,2400,19.0,92.0,0.0,0.0,37.38999999999999,29.44,3.5714285714285716
8,2700,42.0,95.33333333333333,0.0,0.0,37.39,29.45,3.0
9,3000,15.857142857142858,93.0,0.0,0.0,37.395714285714284,29.449999999999996,3.0
10,3300,16.0,93.0,0.0,0.0,37.4,29.45,3.5
11,3600,26.5,95.5,0.0,0.0,37.4,29.45,3.0
12,3900,50.5,95.5,0.0,0.0,37.4,29.45,4.0
13,4200,20.75,93.5,0.0,0.0,37.41,29.46,3.0
14,4500,11.5,91.0,0.0,0.0,37.41,29.46,3.0
15,4800,11.5,91.0,0.0,0.0,37.41,29.46,3.0
16,5100,42.5,85.75,0.0,0.0,37.42,29.4625,5.0
17,5400,26.5,83.0,0.0,0.0,37.42,29.47,3.5
18,5700,37.5,84.0,0.0,0.0,37.43,29.47,4.0
19,6000,35.5,82.5,0.0,0.0,37.43,29.475,3.5
20,6300,27.0,79.0,0.0,0.0,37.44,29.48,3.0
21,6600,24.5,82.5,0.0,0.0,37.44,29.48,4.5
22,6900,33.666666666666664,83.0,0.0,0.0,37.44333333333333,29.483333333333334,5.166666666666667
23,7200,20.8,82.4,0.0,0.0,37.45,29.49,7.0
24,7500,32.625,84.625,0.0,0.0,37.45625,29.490000000000002,5.75
25,7800,30.2,83.0,0.0,0.0,37.46,29.498,5.0
26,8100,44.5,84.66666666666667,0.0,0.0,37.47,29.5,5.166666666666667
27,8400,44.666666666666664,82.33333333333333,0.0,0.0,37.47,29.5,5.833333333333333
28,8700,24.666666666666668,81.0,0.0,0.0,37.48,29.51,12.333333333333334
29,9000,32.4,81.4,0.0,0.0,37.48,29.51,3.0
30,9300,73.0,82.0,0.0,0.0,37.48,29.51,3.0
31,9600,20.0,80.0,0.0,0.0,37.49,29.51,4.0
32,9900,18.0,80.0,0.0,0.0,37.49,29.51,3.0
33,10200,16.5,79.0,0.0,0.0,37.5,29.52,3.0
34,10500,20.0,79.0,0.0,0.0,37.5,29.52,3.0
35,10800,16.0,79.66666666666667,0.0,0.0,37.5,29.52,3.3333333333333335
36,11100,32.5,82.83333333333333,0.0,0.0,37.508333333333326,29.523333333333337,3.5
37,11400,15.5,82.0,0.0,0.0,37.52,29.53,5.0
38,11700,27.0,80.66666666666667,0.0,0.0,37.52,29.53,3.6666666666666665
39,12000,32.0,81.0,0.0,0.0,37.53,29.53,4.0
40,12300,20.0,80.0,0.0,0.0,37.53,29.53,4.0
41,12600,24.0,83.5,0.0,0.0,37.535,29.54,5.0
42,12900,25.666666666666668,82.0,0.0,0.0,37.54,29.540000000000003,4.666666666666667
43,13200,18.666666666666668,79.66666666666667,0.0,0.0,37.54,29.540000000000003,4.0
44,13500,22.0,82.5,0.0,0.0,37.55,29.5475,3.75
45,13800,28.5,82.5,0.0,0.0,37.55,29.55,5.0
46,14100,39.166666666666664,82.66666666666667,0.0,0.0,37.556666666666665,29.55,4.5
47,14400,28.5,83.75,0.0,0.0,37.56,29.55,4.0
48,14700,56.5,85.0,0.0,0.0,37.565,29.555,6.0
49,15000,35.5,83.0,0.0,0.0,37.57,29.56,6.25
50,15300,35.0,82.66666666666667,0.0,0.0,37.58,29.56,4.666666666666667
51,15600,22.5,81.625,0.0,0.0,37.57999999999999,29.56,3.875
52,15900,27.5,84.5,0.0,0.0,37.59,29.57,5.5
53,16200,23.75,81.5,0.0,0.0,37.59,29.57,4.0
54,16500,33.0,82.0,0.0,0.0,37.595,29.57,3.0
55,16800,23.25,82.5,0.0,0.0,37.6,29.577499999999997,3.5
56,17100,18.0,83.5,0.0,0.0,37.6,29.58,3.5
57,17400,18.0,83.5,0.0,0.0,37.6,29.58,3.5
58,17700,18.0,83.5,0.0,0.0,37.6,29.58,3.5
59,18000,19.5,83.5,0.0,0.0,37.61,29.59,3.5
60,18300,34.0,83.5,0.0,0.0,37.614999999999995,29.59,4.0
61,18600,18.75,82.75,0.0,0.0,37.62,29.59,3.75
62,18900,29.166666666666668,83.66666666666667,0.0,0.0,37.626666666666665,29.59833333333333,4.166666666666667
63,19200,19.666666666666668,85.0,0.0,0.0,37.63,29.600000000000005,3.3333333333333335
64,19500,16.0,82.0,0.0,0.0,37.64,29.6,3.0
65,19800,44.0,84.6,0.0,0.0,37.64,29.604000000000003,63.6
66,20100,42.666666666666664,85.33333333333333,0.0,0.0,37.65,29.61,13.0
67,20400,53.25,86.75,0.0,0.0,37.66,29.6125,19.25
68,20700,47.333333333333336,89.0,0.0,0.0,37.67,29.62,15.0
69,21000,47.285714285714285,89.71428571428571,0.0,0.0,37.67857142857143,29.62142857142857,10.714285714285714
70,21300,32.0,86.66666666666667,0.0,0.0,37.68,29.63,7.333333333333333
71,21600,27.666666666666668,84.33333333333333,0.0,0.0,37.69,29.63,7.0
72,21900,43.0,91.0,0.0,0.0,37.7,29.64,5.0
