,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,14.0,90.0,0.0,0.0,37.36,29.42,3.0
1,600,22.5,94.0,0.0,0.0,37.37,29.425,3.5
2,900,29.0,93.0,0.0,0.0,37.37,29.43,10.0
3,1200,27.25,91.25,0.0,0.0,37.37,29.43,5.0
4,1500,27.0,94.0,0.0,0.0,37.38,29.44,3.75
5,1800,20.75,94.75,0.0,0.0,37.38,29.44,3.75
6,2100,57.333333333333336,93.33333333333333,0.0,0.0,37.39,29.44,3.3333333333333335
7,2400,13.0,92.0,0.0,0.0,37.39,29.44,3.3333333333333335
8,2700,24.666666666666668,96.0,0.0,0.0,37.39,29.45,3.0
9,3000,18.666666666666668,93.0,0.0,0.0,37.39,29.45,3.0
10,3300,18.0,93.4,0.0,0.0,37.4,29.45,3.8
11,3600,30.0,94.4,0.0,0.0,37.4,29.45,3.4
12,3900,21.666666666666668,96.33333333333333,0.0,0.0,37.40333333333333,29.453333333333333,3.3333333333333335
13,4200,31.0,94.0,0.0,0.0,37.41,29.46,3.0
14,4500,10.0,91.0,0.0,0.0,37.41,29.46,3.5
15,4800,36.0,95.0,0.0,0.0,37.41,29.459999999999997,3.0
16,5100,29.5,85.0,0.0,0.0,37.42,29.46,4.0
17,5400,27.2,83.4,0.0,0.0,37.42,29.47,3.6
18,5700,29.0,83.8,0.0,0.0,37.424,29.47,3.6
19,6000,22.0,81.5,0.0,0.0,37.43,29.48,4.0
20,6300,18.5,81.0,0.0,0.0,37.43,29.48,4.0
21,6600,52.0,83.0,0.0,0.0,37.44,29.48,7.0
22,6900,26.0,83.0,0.0,0.0,37.45,29.49,6.0
23,7200,22.0,83.25,0.0,0.0,37.45,29.49,6.5
24,7500,22.0,83.25,0.0,0.0,37.45,29.49,6.5
25,7800,28.333333333333332,83.0,0.0,0.0,37.46,29.496666666666666,5.0
26,8100,47.714285714285715,84.0,0.0,0.0,37.46714285714285,29.5,5.0
27,8400,36.2,82.0,0.0,0.0,37.47,29.5,6.0
28,8700,33.0,81.0,0.0,0.0,37.48,29.51,17.0
29,9000,31.2,81.4,0.0,0.0,37.48,29.51,3.2
30,9300,33.0,80.0,0.0,0.0,37.49,29.51,5.0
31,9600,24.8,80.4,0.0,0.0,37.49,29.51,3.8
32,9900,16.666666666666668,79.66666666666667,0.0,0.0,37.49,29.52,3.0
33,10200,16.0,78.5,0.0,0.0,37.5,29.52,3.0
34,10500,24.0,78.66666666666667,0.0,0.0,37.5,29.52,3.3333333333333335
35,10800,23.25,80.0,0.0,0.0,37.5,29.52,3.75
36,11100,39.0,81.66666666666667,0.0,0.0,37.51,29.52,3.0
37,11400,25.571428571428573,82.57142857142857,0.0,0.0,37.52,29.53,3.857142857142857
38,11700,36.333333333333336,79.66666666666667,0.0,0.0,37.52,29.53,4.333333333333333
39,12000,28.0,81.0,0.0,0.0,37.52,29.53,4.0
40,12300,30.333333333333332,81.0,0.0,0.0,37.53,29.53,4.0
41,12600,50.5,83.0,0.0,0.0,37.535,29.54,4.0
42,12900,29.333333333333332,83.0,0.0,0.0,37.54,29.540000000000003,4.333333333333333
43,13200,35.25,80.75,0.0,0.0,37.54,29.54,3.75
44,13500,22.0,83.0,0.0,0.0,37.55,29.54,4.0
45,13800,23.5,83.0,0.0,0.0,37.55,29.55,3.5
46,14100,24.4,83.0,0.0,0.0,37.552,29.55,3.8
47,14400,26.75,84.5,0.0,0.0,37.56,29.55,3.5
48,14700,21.5,82.5,0.0,0.0,37.567499999999995,29.552500000000002,5.0
49,15000,14.0,82.0,0.0,0.0,37.57,29.56,4.0
50,15300,25.0,82.75,0.0,0.0,37.5775,29.56,3.5
51,15600,17.5,81.5,0.0,0.0,37.58,29.56,4.0
52,15900,25.5,81.5,0.0,0.0,37.58,29.564999999999998,4.0
53,16200,28.25,81.75,0.0,0.0,37.59,29.57,3.75
54,16500,25.5,82.5,0.0,0.0,37.59,29.57,4.0
55,16800,15.75,81.5,0.0,0.0,37.6,29.5725,3.5
56,17100,19.666666666666668,82.66666666666667,0.0,0.0,37.6,29.58,3.6666666666666665
57,17400,51.0,86.0,0.0,0.0,37.6,29.58,4.0
58,17700,22.0,83.0,0.0,0.0,37.61,29.59,4.0
59,18000,23.0,84.0,0.0,0.0,37.61,29.59,3.5
60,18300,16.0,83.0,0.0,0.0,37.62,29.59,3.0
61,18600,32.0,82.5,0.0,0.0,37.62,29.59,3.5
62,18900,30.0,84.0,0.0,0.0,37.63,29.6,4.0
63,19200,32.5,85.5,0.0,0.0,37.63,29.6,3.5
64,19500,35.333333333333336,82.16666666666667,0.0,0.0,37.63999999999999,29.599999999999998,20.0
65,19800,37.2,86.0,0.0,0.0,37.64,29.607999999999997,8.6
66,20100,46.333333333333336,87.83333333333333,0.0,0.0,37.65,29.610000000000003,10.5
67,20400,50.0,86.5,0.0,0.0,37.66,29.615000000000002,20.5
68,20700,53.0,89.0,0.0,0.0,37.67,29.62,15.0
69,21000,58.333333333333336,89.66666666666667,0.0,0.0,37.67666666666667,29.62,9.666666666666666
70,21300,46.0,85.5,0.0,0.0,37.68,29.63,8.0
71,21600,28.0,85.0,0.0,0.0,37.69,29.630000000000003,6.8
72,21900,78.0,88.5,0.0,0.0,37.695,29.634999999999998,9.0
73,22200,39.5,88.5,0.0,0.0,37.7,29.64,10.0
74,22500,74.0,93.5,0.0,0.0,37.72,29.65,6.5
75,22800,80.0,95.0,0.0,0.0,37.73333333333334,29.649999999999995,4.333333333333333
76,23100,85.0,92.5,0.0,0.0,37.745000000000005,29.655,5.0
77,23400,59.5,90.5,0.0,0.0,37.75,29.66,6.5
78,23700,59.5,90.5,0.0,0.0,37.75,29.66,6.5
79,24000,69.5,95.0,0.0,0.0,37.77,29.67,6.0
80,24300,54.75,93.75,0.0,0.0,37.7775,29.675000000000004,9.75
81,24600,50.5,94.5,0.0,0.0,37.79,29.68,12.0
82,24900,54.2,93.0,0.0,0.0,37.791999999999994,29.68,8.2
83,25200,36.0,87.66666666666667,0.0,0.0,37.8,29.69,9.0
84,25500,53.0,88.0,0.0,0.0,37.81,29.69,7.0
85,25800,53.5,90.5,0.0,0.0,37.81,29.7,10.0
86,26100,44.333333333333336,88.66666666666667,0.0,0.0,37.82,29.7,11.333333333333334
87,26400,44.333333333333336,88.66666666666667,0.0,0.0,37.82,29.7,11.333333333333334
88,26700,64.0,90.0,0.0,0.0,37.83,29.71,5.0
89,27000,42.333333333333336,94.33333333333333,0.0,0.0,37.82999999999999,29.710000000000004,3.6666666666666665
90,27300,26.0,93.5,0.0,0.0,37.84,29.72,5.5
91,27600,32.0,94.0,0.0,0.0,37.84,29.72,4.666666666666667
92,27900,19.5,90.5,0.0,0.0,37.85,29.73,4.0
93,28200,28.5,91.5,0.0,0.0,37.85,29.73,4.5
94,28500,24.666666666666668,90.33333333333333,0.0,0.0,37.86,29.73,4.0
95,28800,35.0,91.5,0.0,0.0,37.86,29.735,5.5
96,29100,35.0,91.5,0.0,0.0,37.86,29.735,5.5
97,29400,35.0,91.5,0.0,0.0,37.86,29.735,5.5
98,29700,35.0,91.5,0.0,0.0,37.86,29.735,5.5
99,30000,35.0,91.5,0.0,0.0,37.86,29.735,5.5
100,30300,34.0,91.5,0.0,0.0,37.95,29.8275,9.25
101,30600,35.6,91.8,0.0,0.0,37.968,29.851999999999997,8.8
102,30900,50.666666666666664,89.33333333333333,0.0,0.0,37.98,29.86,9.333333333333334
103,31200,31.333333333333332,88.33333333333333,0.0,0.0,37.98333333333333,29.86,5.333333333333333
104,31500,36.75,86.25,0.0,0.0,37.99,29.87,5.0
105,31800,46.0,86.0,0.0,0.0,37.99,29.87,5.0
