,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,42.5,90.0,0.0,0.0,37.36,29.42,3.0
1,600,24.285714285714285,94.14285714285714,0.0,0.0,37.36857142857143,29.42714285714286,4.0
2,900,26.833333333333332,92.83333333333333,0.0,0.0,37.37,29.430000000000003,13.333333333333334
3,1200,28.0,92.0,0.0,0.0,37.375,29.43,5.0
4,1500,19.5,94.0,0.0,0.0,37.38,29.44,3.5
5,1800,34.333333333333336,94.33333333333333,0.0,0.0,37.38,29.44,4.0
6,2100,34.333333333333336,94.33333333333333,0.0,0.0,37.38,29.44,4.0
7,2400,31.75,92.0,0.0,0.0,37.39,29.44,3.5
8,2700,18.0,95.5,0.0,0.0,37.39,29.45,3.0
9,3000,14.5,92.5,0.0,0.0,37.4,29.45,3.0
10,3300,13.5,92.5,0.0,0.0,37.4,29.45,3.5
11,3600,20.0,94.5,0.0,0.0,37.4,29.45,3.5
12,3900,24.0,96.0,0.0,0.0,37.4,29.45,3.0
13,4200,80.0,95.0,0.0,0.0,37.41,29.46,3.0
14,4500,27.25,91.75,0.0,0.0,37.41,29.46,3.5
15,4800,35.2,96.4,0.0,0.0,37.41,29.46,3.0
16,5100,28.666666666666668,85.66666666666667,0.0,0.0,37.42,29.463333333333335,4.666666666666667
17,5400,33.5,83.0,0.0,0.0,37.42,29.47,3.0
18,5700,36.857142857142854,84.28571428571429,0.0,0.0,37.425714285714285,29.47,3.857142857142857
19,6000,23.333333333333332,82.0,0.0,0.0,37.43,29.47,3.0
20,6300,18.0,79.66666666666667,0.0,0.0,37.43666666666667,29.48,3.3333333333333335
21,6600,23.0,84.0,0.0,0.0,37.44,29.48,5.0
22,6900,30.5,83.25,0.0,0.0,37.442499999999995,29.485,5.0
23,7200,25.0,82.0,0.0,0.0,37.45,29.49,4.0
24,7500,30.0,84.5,0.0,0.0,37.4575,29.49,5.75
25,7800,25.5,83.0,0.0,0.0,37.46,29.5,6.0
26,8100,37.5,83.5,0.0,0.0,37.465,29.5,4.5
27,8400,41.666666666666664,81.33333333333333,0.0,0.0,37.47,29.5,4.333333333333333
28,8700,31.0,81.0,0.0,0.0,37.48,29.51,3.0
29,9000,24.25,81.0,0.0,0.0,37.48,29.51,4.5
30,9300,28.142857142857142,80.57142857142857,0.0,0.0,37.49,29.509999999999998,4.142857142857143
31,9600,25.5,80.0,0.0,0.0,37.49,29.51,4.0
32,9900,20.333333333333332,80.33333333333333,0.0,0.0,37.49,29.51,4.333333333333333
33,10200,23.25,78.5,0.0,0.0,37.5,29.52,3.0
34,10500,27.666666666666668,79.0,0.0,0.0,37.5,29.52,3.0
35,10800,27.8,80.0,0.0,0.0,37.5,29.52,5.4
36,11100,30.0,82.0,0.0,0.0,37.51,29.52,3.0
37,11400,17.333333333333332,82.66666666666667,0.0,0.0,37.52,29.53,3.0
38,11700,19.6,80.2,0.0,0.0,37.52,29.53,5.2
39,12000,26.333333333333332,80.0,0.0,0.0,37.53,29.53,4.0
40,12300,30.5,80.625,0.0,0.0,37.53,29.53,5.125
41,12600,32.6,82.8,0.0,0.0,37.532,29.54,5.4
42,12900,13.0,81.0,0.0,0.0,37.54,29.54,7.0
43,13200,34.0,81.33333333333333,0.0,0.0,37.54,29.540000000000003,3.3333333333333335
44,13500,21.0,82.0,0.0,0.0,37.55,29.55,3.0
45,13800,22.0,82.0,0.0,0.0,37.55,29.55,7.0
46,14100,22.0,82.0,0.0,0.0,37.55,29.55,7.0
47,14400,29.5,84.5,0.0,0.0,37.56,29.55,3.0
48,14700,30.2,84.4,0.0,0.0,37.562,29.552,4.4
49,15000,23.166666666666668,83.16666666666667,0.0,0.0,37.57,29.56,5.5
50,15300,22.5,83.0,0.0,0.0,37.575,29.56,5.5
51,15600,26.6,82.2,0.0,0.0,37.58,29.559999999999995,4.6
52,15900,26.5,83.5,0.0,0.0,37.59,29.57,4.0
53,16200,19.5,82.0,0.0,0.0,37.59,29.57,3.5
54,16500,23.333333333333332,82.0,0.0,0.0,37.59,29.570000000000004,3.6666666666666665
55,16800,37.5,82.0,0.0,0.0,37.6,29.575,3.0
56,17100,25.0,82.66666666666667,0.0,0.0,37.6,29.58,3.6666666666666665
57,17400,43.0,82.66666666666667,0.0,0.0,37.6,29.58,4.0
58,17700,43.0,82.66666666666667,0.0,0.0,37.6,29.58,4.0
59,18000,28.0,83.66666666666667,0.0,0.0,37.61,29.59,3.0
60,18300,26.0,84.0,0.0,0.0,37.62,29.59,3.0
61,18600,15.0,83.0,0.0,0.0,37.62,29.59,3.0
62,18900,26.0,83.0,0.0,0.0,37.625,29.6,4.0
63,19200,20.6,84.8,0.0,0.0,37.63,29.6,3.8
64,19500,14.8,82.6,0.0,0.0,37.638,29.6,3.6
65,19800,35.0,84.33333333333333,0.0,0.0,37.64,29.600000000000005,37.666666666666664
66,20100,25.333333333333332,84.0,0.0,0.0,37.65,29.61,16.0
67,20400,44.0,87.0,0.0,0.0,37.66,29.61,10.0
68,20700,46.5,89.0,0.0,0.0,37.67000000000001,29.62,16.0
69,21000,55.0,91.0,0.0,0.0,37.68,29.62,12.0
70,21300,41.0,88.0,0.0,0.0,37.68,29.63,10.0
71,21600,34.25,84.5,0.0,0.0,37.6875,29.63,5.75
72,21900,46.0,91.0,0.0,0.0,37.7,29.64,5.0
73,22200,57.0,87.5,0.0,0.0,37.705,29.64,6.5
74,22500,57.0,87.5,0.0,0.0,37.705,29.64,6.5
75,22800,80.66666666666667,94.66666666666667,0.0,0.0,37.73,29.649999999999995,5.333333333333333
76,23100,69.33333333333333,94.0,0.0,0.0,37.74666666666667,29.656666666666666,5.333333333333333
77,23400,55.0,91.0,0.0,0.0,37.75,29.66,8.0
78,23700,54.0,91.5,0.0,0.0,37.7625,29.6675,8.5
79,24000,62.5,94.5,0.0,0.0,37.77,29.67,10.5
80,24300,57.0,94.0,0.0,0.0,37.78,29.675,9.5
81,24600,50.0,94.14285714285714,0.0,0.0,37.787142857142854,29.680000000000003,9.285714285714286
82,24900,68.0,95.0,0.0,0.0,37.79,29.68,4.0
83,25200,30.666666666666668,87.0,0.0,0.0,37.8,29.69,10.333333333333334
84,25500,30.0,85.66666666666667,0.0,0.0,37.803333333333335,29.69,4.666666666666667
85,25800,50.0,89.75,0.0,0.0,37.8125,29.7,8.5
86,26100,35.5,89.0,0.0,0.0,37.82,29.7,6.0
87,26400,31.0,90.66666666666667,0.0,0.0,37.82,29.7,4.666666666666667
88,26700,30.0,89.5,0.0,0.0,37.83,29.71,4.0
89,27000,36.75,94.0,0.0,0.0,37.83,29.71,4.25
90,27300,36.75,94.0,0.0,0.0,37.83,29.71,4.25
91,27600,38.666666666666664,92.33333333333333,0.0,0.0,37.84,29.72,4.666666666666667
92,27900,32.714285714285715,92.57142857142857,0.0,0.0,37.85,29.72428571428571,3.2857142857142856
93,28200,25.0,90.5,0.0,0.0,37.85,29.73,4.0
94,28500,27.5,91.25,0.0,0.0,37.86,29.73,6.5
95,28800,27.5,91.25,0.0,0.0,37.86,29.73,6.5
96,29100,27.5,91.25,0.0,0.0,37.86,29.73,6.5
97,29400,27.5,91.25,0.0,0.0,37.86,29.73,6.5
98,29700,27.5,91.25,0.0,0.0,37.86,29.73,6.5
99,30000,27.5,91.25,0.0,0.0,37.86,29.73,6.5
100,30300,31.333333333333332,91.66666666666667,0.0,0.0,37.95333333333334,29.833333333333332,8.666666666666666
101,30600,38.714285714285715,92.14285714285714,0.0,0.0,37.96857142857142,29.849999999999998,10.142857142857142
102,30900,43.0,89.0,0.0,0.0,37.98,29.86,8.75
103,31200,33.0,87.66666666666667,0.0,0.0,37.98,29.86,5.333333333333333
104,31500,38.0,87.0,0.0,0.0,37.99,29.87,6.0
105,31800,32.0,86.5,0.0,0.0,37.99,29.87,6.0
106,32100,35.4,88.2,0.0,0.0,37.998000000000005,29.872000000000003,4.6
107,32400,31.625,88.0,0.0,0.0,38.0,29.88,5.875
108,32700,36.5,86.25,0.0,0.0,38.00749999999999,29.88,5.5
109,33000,30.0,86.0,0.0,0.0,38.01,29.89,5.0
110,33300,34.5,88.5,0.0,0.0,38.0125,29.89,5.5
111,33600,47.75,84.75,0.0,0.0,38.02,29.89,5.5
112,33900,29.5,85.0,0.0,0.0,38.02,29.9,4.5
113,34200,27.5,85.0,0.0,0.0,38.02,29.9,4.0
114,34500,32.666666666666664,87.0,0.0,0.0,38.03,29.899999999999995,4.0
115,34800,23.75,86.75,0.0,0.0,38.03,29.91,3.75
116,35100,31.333333333333332,88.0,0.0,0.0,38.04,29.91,5.0
117,35400,55.0,90.0,0.0,0.0,38.042500000000004,29.91,5.0
118,35700,30.4,90.8,0.0,0.0,38.05,29.918,3.8
119,36000,28.75,87.75,0.0,0.0,38.05,29.92,4.0
120,36300,39.5,91.0,0.0,0.0,38.06,29.92,4.5
121,36600,31.6,87.4,0.0,0.0,38.06,29.926000000000005,4.6
122,36900,64.8,87.8,0.0,0.0,38.065999999999995,29.93,5.4
123,37200,59.0,87.5,0.0,0.0,38.07,29.93,5.0
124,37500,27.333333333333332,89.5,0.0,0.0,38.07999999999999,29.94,4.666666666666667
125,37800,26.4,88.2,0.0,0.0,38.08,29.940000000000005,4.2
126,38100,45.0,89.0,0.0,0.0,38.09,29.95,4.666666666666667
127,38400,23.25,88.0,0.0,0.0,38.09,29.95,5.75
128,38700,38.0,88.0,0.0,0.0,38.09,29.95,4.0
129,39000,23.5,88.5,0.0,0.0,38.1,29.95,4.0
130,39300,23.666666666666668,87.66666666666667,0.0,0.0,38.1,29.959999999999997,4.0
131,39600,18.0,86.0,0.0,0.0,38.1,29.96,4.0
132,39900,25.5,88.5,0.0,0.0,38.11,29.96,4.0
133,40200,39.0,89.0,0.0,0.0,38.11,29.96,10.0
134,40500,39.0,89.0,0.0,0.0,38.11,29.96,10.0
135,40800,39.0,89.0,0.0,0.0,38.11,29.96,10.0
136,41100,39.0,89.0,0.0,0.0,38.11,29.96,10.0
137,41400,28.5,90.0,0.0,0.0,38.13,29.98,5.0
138,41700,66.0,91.0,0.0,0.0,38.14,29.99,4.0
139,42000,20.5,89.0,0.0,0.0,38.14,29.99,4.5
140,42300,19.6,88.8,0.0,0.0,38.14,29.99,4.4
141,42600,20.0,89.0,0.0,0.0,38.15,30.0,6.0
142,42900,36.0,91.0,0.0,0.0,38.15,30.0,13.0
143,43200,31.6,92.0,0.0,0.0,38.158,30.004,5.8
144,43500,27.5,90.0,0.0,0.0,38.16,30.01,10.5
145,43800,33.0,91.33333333333333,0.0,0.0,38.17,30.02,6.333333333333333
146,44100,58.0,93.0,0.0,0.0,38.17,30.02,7.5
147,44400,29.666666666666668,91.66666666666667,0.0,0.0,38.18,30.02333333333333,4.666666666666667
148,44700,52.333333333333336,90.66666666666667,0.0,0.0,38.18,30.03,4.333333333333333
149,45000,37.0,91.0,0.0,0.0,38.18,30.03,6.0
150,45300,38.0,90.4,0.0,0.0,38.19,30.04,4.6
151,45600,30.0,90.0,0.0,0.0,38.195,30.04,6.0
152,45900,30.75,90.25,0.0,0.0,38.2,30.044999999999998,6.75
153,46200,33.0,93.0,0.0,0.0,38.2,30.05,5.0
154,46500,33.8,95.8,0.0,0.0,38.21,30.05,5.8
155,46800,23.0,92.0,0.0,0.0,38.21,30.05,4.0
156,47100,23.0,92.0,0.0,0.0,38.21,30.05,4.0
157,47400,29.0,92.0,0.0,0.0,38.22,30.06,4.5
158,47700,29.0,92.0,0.0,0.0,38.22,30.06,4.5
159,48000,29.0,92.0,0.0,0.0,38.22,30.06,4.5
160,48300,29.0,92.0,0.0,0.0,38.22,30.06,4.5
161,48600,29.0,92.0,0.0,0.0,38.22,30.06,4.5
162,48900,29.0,92.0,0.0,0.0,38.22,30.06,4.5
163,49200,33.0,92.33333333333333,0.0,0.0,38.24,30.09,3.3333333333333335
164,49500,49.666666666666664,92.33333333333333,0.0,0.0,38.24333333333333,30.09,5.0
165,49800,23.0,91.0,0.0,0.0,38.25,30.09,3.0
166,50100,33.0,93.0,0.0,0.0,38.25,30.09,6.5
167,50400,33.2,89.8,0.0,0.0,38.26,30.1,3.6
168,50700,41.333333333333336,93.0,0.0,0.0,38.26,30.103333333333335,4.333333333333333
169,51000,28.4,90.8,0.0,0.0,38.27,30.110000000000003,4.8
170,51300,35.0,92.25,0.0,0.0,38.2775,30.117500000000003,5.25
171,51600,26.5,91.5,0.0,0.0,38.28,30.12,5.5
172,51900,32.0,90.0,0.0,0.0,38.29,30.13,4.0
173,52200,23.75,89.0,0.0,0.0,38.29,30.13,4.25
174,52500,31.0,91.5,0.0,0.0,38.3,30.13,5.0
175,52800,34.666666666666664,91.66666666666667,0.0,0.0,38.3,30.133333333333336,4.666666666666667
176,53100,23.333333333333332,90.66666666666667,0.0,0.0,38.31,30.14,4.333333333333333
177,53400,31.0,90.4,0.0,0.0,38.31,30.139999999999997,4.6
178,53700,26.0,91.0,0.0,0.0,38.32,30.15,4.0
179,54000,26.0,91.0,0.0,0.0,38.32,30.15,6.0
180,54300,39.25,92.25,0.0,0.0,38.33,30.15,5.0
181,54600,25.5,93.0,0.0,0.0,38.33,30.16,5.0
182,54900,22.0,93.0,0.0,0.0,38.34,30.16,7.0
183,55200,24.666666666666668,91.33333333333333,0.0,0.0,38.34,30.163333333333338,4.0
184,55500,26.2,91.8,0.0,0.0,38.348,30.170000000000005,5.0
185,55800,24.0,92.2,0.0,0.0,38.35,30.170000000000005,4.6
186,56100,26.5,94.5,0.0,0.0,38.35,30.18,5.5
187,56400,28.0,95.0,0.0,0.0,38.36,30.18,9.0
188,56700,26.5,93.25,0.0,0.0,38.36,30.18,6.0
189,57000,31.0,93.25,0.0,0.0,38.37,30.19,6.25
190,57300,31.0,93.25,0.0,0.0,38.37,30.19,6.25
191,57600,31.0,93.25,0.0,0.0,38.37,30.19,6.25
192,57900,31.0,93.25,0.0,0.0,38.37,30.19,6.25
193,58200,31.0,93.25,0.0,0.0,38.37,30.19,6.25
194,58500,31.0,93.25,0.0,0.0,38.37,30.19,6.25
195,58800,31.0,93.25,0.0,0.0,38.37,30.19,6.25
196,59100,31.0,93.25,0.0,0.0,38.37,30.19,6.25
197,59400,31.0,93.25,0.0,0.0,38.37,30.19,6.25
198,59700,31.0,93.25,0.0,0.0,38.37,30.19,6.25
199,60000,31.0,93.25,0.0,0.0,38.37,30.19,6.25
200,60300,31.0,93.25,0.0,0.0,38.37,30.19,6.25
201,60600,31.0,93.25,0.0,0.0,38.37,30.19,6.25
202,60900,31.0,93.25,0.0,0.0,38.37,30.19,6.25
203,61200,31.0,93.25,0.0,0.0,38.37,30.19,6.25
204,61500,31.0,93.25,0.0,0.0,38.37,30.19,6.25
205,61800,31.0,93.25,0.0,0.0,38.37,30.19,6.25
206,62100,31.0,93.25,0.0,0.0,38.37,30.19,6.25
207,62400,31.0,93.25,0.0,0.0,38.37,30.19,6.25
208,62700,31.0,93.25,0.0,0.0,38.37,30.19,6.25
209,63000,31.0,93.25,0.0,0.0,38.37,30.19,6.25
210,63300,31.0,93.25,0.0,0.0,38.37,30.19,6.25
211,63600,31.0,93.25,0.0,0.0,38.37,30.19,6.25
212,63900,31.0,93.25,0.0,0.0,38.37,30.19,6.25
213,64200,31.0,93.25,0.0,0.0,38.37,30.19,6.25
214,64500,31.0,93.25,0.0,0.0,38.37,30.19,6.25
215,64800,31.0,93.25,0.0,0.0,38.37,30.19,6.25
216,65100,31.0,93.25,0.0,0.0,38.37,30.19,6.25
217,65400,31.0,93.25,0.0,0.0,38.37,30.19,6.25
218,65700,31.0,93.25,0.0,0.0,38.37,30.19,6.25
219,66000,31.0,93.25,0.0,0.0,38.37,30.19,6.25
220,66300,31.0,93.25,0.0,0.0,38.37,30.19,6.25
221,66600,31.0,93.25,0.0,0.0,38.37,30.19,6.25
222,66900,31.0,93.25,0.0,0.0,38.37,30.19,6.25
223,67200,31.0,93.25,0.0,0.0,38.37,30.19,6.25
