,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,38.0,92.5,0.0,0.0,37.364999999999995,29.425,3.5
2,900,27.5,92.5,0.0,0.0,37.37,29.43,18.0
3,1200,23.0,91.0,0.0,0.0,37.37,29.43,4.6
4,1500,18.75,94.0,0.0,0.0,37.38,29.4375,3.75
5,1800,17.0,95.0,0.0,0.0,37.38,29.44,3.0
6,2100,16.0,93.5,0.0,0.0,37.385000000000005,29.44,3.5
7,2400,16.0,93.5,0.0,0.0,37.385000000000005,29.44,3.5
8,2700,17.0,95.0,0.0,0.0,37.39,29.45,3.0
9,3000,27.4,92.8,0.0,0.0,37.396,29.45,3.2
10,3300,23.5,92.5,0.0,0.0,37.4,29.45,3.5
11,3600,20.5,94.83333333333333,0.0,0.0,37.4,29.45,4.666666666666667
12,3900,22.25,95.75,0.0,0.0,37.402499999999996,29.4525,5.25
13,4200,20.5,94.0,0.0,0.0,37.41,29.46,3.0
14,4500,13.5,91.0,0.0,0.0,37.41,29.46,3.5
15,4800,28.5,94.75,0.0,0.0,37.41,29.46,3.0
16,5100,38.75,86.75,0.0,0.0,37.42,29.465,5.5
17,5400,63.0,84.0,0.0,0.0,37.42,29.47,5.0
18,5700,63.0,84.0,0.0,0.0,37.42,29.47,5.0
19,6000,23.0,82.0,0.0,0.0,37.43,29.473333333333333,3.3333333333333335
20,6300,23.0,82.0,0.0,0.0,37.43,29.473333333333333,3.3333333333333335
21,6600,23.0,82.0,0.0,0.0,37.43,29.473333333333333,3.3333333333333335
22,6900,27.285714285714285,83.0,0.0,0.0,37.44571428571428,29.48714285714286,5.571428571428571
23,7200,26.375,82.25,0.0,0.0,37.449999999999996,29.490000000000002,7.5
24,7500,29.0,85.0,0.0,0.0,37.45666666666667,29.49,7.0
25,7800,39.0,84.0,0.0,0.0,37.46,29.494999999999997,6.0
26,8100,49.5,86.0,0.0,0.0,37.47,29.5,4.5
27,8400,38.142857142857146,83.0,0.0,0.0,37.46999999999999,29.5,6.571428571428571
28,8700,29.5,81.5,0.0,0.0,37.48,29.51,3.0
29,9000,20.0,81.0,0.0,0.0,37.48,29.51,4.0
30,9300,29.0,80.33333333333333,0.0,0.0,37.49,29.51,4.0
31,9600,23.0,80.33333333333333,0.0,0.0,37.49,29.51,3.6666666666666665
32,9900,31.75,80.0,0.0,0.0,37.49,29.515,4.0
33,10200,40.666666666666664,79.33333333333333,0.0,0.0,37.5,29.52,3.0
34,10500,54.5,80.0,0.0,0.0,37.5,29.52,3.5
35,10800,16.0,79.0,0.0,0.0,37.5,29.52,4.0
36,11100,26.0,83.0,0.0,0.0,37.51,29.52,3.0
37,11400,26.0,83.0,0.0,0.0,37.51,29.52,3.0
38,11700,17.2,80.0,0.0,0.0,37.52,29.53,4.2
39,12000,33.5,80.5,0.0,0.0,37.53,29.53,4.0
40,12300,26.0,80.6,0.0,0.0,37.53,29.53,5.0
41,12600,23.0,83.0,0.0,0.0,37.53333333333333,29.540000000000003,5.333333333333333
42,12900,18.0,82.0,0.0,0.0,37.54,29.54,6.0
43,13200,16.666666666666668,80.5,0.0,0.0,37.54,29.539999999999996,3.3333333333333335
44,13500,25.166666666666668,81.66666666666667,0.0,0.0,37.54833333333334,29.539999999999996,4.666666666666667
45,13800,20.666666666666668,82.0,0.0,0.0,37.55,29.55,6.333333333333333
46,14100,29.25,82.25,0.0,0.0,37.555,29.55,3.5
47,14400,27.333333333333332,85.0,0.0,0.0,37.56,29.55,3.6666666666666665
48,14700,31.0,82.5,0.0,0.0,37.57,29.55,5.0
49,15000,19.5,81.5,0.0,0.0,37.57,29.56,4.0
50,15300,22.0,82.66666666666667,0.0,0.0,37.57333333333333,29.56,4.666666666666667
51,15600,22.0,82.66666666666667,0.0,0.0,37.57333333333333,29.56,4.666666666666667
52,15900,27.5,84.0,0.0,0.0,37.59,29.57,5.5
53,16200,25.25,81.25,0.0,0.0,37.59,29.57,4.0
54,16500,24.666666666666668,82.66666666666667,0.0,0.0,37.59,29.570000000000004,4.0
55,16800,21.88888888888889,81.55555555555556,0.0,0.0,37.6,29.57222222222222,3.2222222222222223
56,17100,30.833333333333332,83.83333333333333,0.0,0.0,37.6,29.579999999999995,3.5
57,17400,54.666666666666664,85.33333333333333,0.0,0.0,37.6,29.58,4.0
58,17700,54.666666666666664,85.33333333333333,0.0,0.0,37.6,29.58,4.0
59,18000,23.625,84.125,0.0,0.0,37.61000000000001,29.59,3.125
60,18300,23.0,85.0,0.0,0.0,37.62,29.59,3.0
61,18600,34.5,82.0,0.0,0.0,37.62,29.59,3.75
62,18900,26.333333333333332,82.83333333333333,0.0,0.0,37.62333333333333,29.59833333333333,4.166666666666667
63,19200,35.5,85.0,0.0,0.0,37.63,29.6,4.0
64,19500,22.5,84.0,0.0,0.0,37.635000000000005,29.6,3.0
65,19800,46.0,85.25,0.0,0.0,37.64,29.602500000000003,31.0
66,20100,58.75,90.75,0.0,0.0,37.65,29.61,8.5
67,20400,43.0,85.85714285714286,0.0,0.0,37.660000000000004,29.610000000000007,17.714285714285715
68,20700,40.0,89.0,0.0,0.0,37.67,29.62,17.0
69,21000,89.0,91.0,0.0,0.0,37.67,29.62,7.0
70,21300,33.0,87.0,0.0,0.0,37.68,29.63,10.0
71,21600,24.0,84.0,0.0,0.0,37.69,29.63,4.0
72,21900,44.285714285714285,89.71428571428571,0.0,0.0,37.694285714285705,29.635714285714283,5.285714285714286
73,22200,38.666666666666664,87.66666666666667,0.0,0.0,37.70333333333334,29.64,7.333333333333333
74,22500,73.5,93.5,0.0,0.0,37.715,29.65,6.5
