,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,30.0,94.0,0.0,0.0,37.37,29.43,3.0
2,900,26.0,94.0,0.0,0.0,37.37,29.43,6.0
3,1200,33.25,91.75,0.0,0.0,37.372499999999995,29.43,4.5
4,1500,21.25,94.25,0.0,0.0,37.38,29.4375,3.75
5,1800,24.5,95.0,0.0,0.0,37.38,29.44,3.5
6,2100,27.0,92.33333333333333,0.0,0.0,37.39,29.44,3.3333333333333335
7,2400,24.5,92.0,0.0,0.0,37.39,29.44,4.5
8,2700,31.2,94.4,0.0,0.0,37.39,29.444,3.4
9,3000,57.25,93.5,0.0,0.0,37.395,29.45,3.0
10,3300,57.25,93.5,0.0,0.0,37.395,29.45,3.0
11,3600,16.0,95.0,0.0,0.0,37.4,29.45,3.0
12,3900,20.5,96.0,0.0,0.0,37.4,29.45,5.25
13,4200,17.25,93.25,0.0,0.0,37.41,29.46,3.0
14,4500,31.333333333333332,91.33333333333333,0.0,0.0,37.41,29.459999999999997,3.3333333333333335
15,4800,21.0,93.66666666666667,0.0,0.0,37.41,29.459999999999997,3.0
16,5100,27.5,84.5,0.0,0.0,37.42,29.465,4.0
17,5400,30.0,83.5,0.0,0.0,37.42,29.47,4.5
18,5700,39.0,85.0,0.0,0.0,37.43,29.47,4.0
19,6000,20.5,81.5,0.0,0.0,37.43,29.48,3.5
20,6300,19.0,80.0,0.0,0.0,37.435,29.48,4.0
21,6600,25.666666666666668,83.66666666666667,0.0,0.0,37.44,29.48,5.666666666666667
22,6900,26.5,83.0,0.0,0.0,37.445,29.485,5.5
23,7200,22.0,83.0,0.0,0.0,37.45,29.49,5.666666666666667
24,7500,33.5,85.0,0.0,0.0,37.455000000000005,29.49,6.5
25,7800,31.0,83.66666666666667,0.0,0.0,37.46,29.496666666666666,5.666666666666667
26,8100,35.0,85.0,0.0,0.0,37.47,29.5,4.0
27,8400,44.0,83.0,0.0,0.0,37.47,29.5,7.0
28,8700,35.166666666666664,81.0,0.0,0.0,37.48,29.508333333333336,9.0
29,9000,21.8,81.6,0.0,0.0,37.48,29.51,4.0
30,9300,49.0,80.5,0.0,0.0,37.49,29.51,3.75
31,9600,42.0,80.25,0.0,0.0,37.49,29.51,3.5
32,9900,30.333333333333332,80.0,0.0,0.0,37.49,29.516666666666666,4.333333333333333
33,10200,16.75,79.25,0.0,0.0,37.5,29.52,3.0
34,10500,22.5,79.0,0.0,0.0,37.5,29.52,3.0
35,10800,17.5,80.0,0.0,0.0,37.5,29.52,6.0
36,11100,50.333333333333336,82.0,0.0,0.0,37.51,29.52,3.3333333333333335
37,11400,50.333333333333336,82.0,0.0,0.0,37.51,29.52,3.3333333333333335
38,11700,41.0,79.66666666666667,0.0,0.0,37.52,29.53,4.333333333333333
39,12000,28.8,80.6,0.0,0.0,37.526,29.53,5.8
40,12300,24.5,80.0,0.0,0.0,37.53,29.53,3.5
41,12600,25.0,83.75,0.0,0.0,37.535,29.54,4.25
42,12900,28.666666666666668,82.33333333333333,0.0,0.0,37.54,29.540000000000003,5.333333333333333
43,13200,20.5,82.0,0.0,0.0,37.54,29.54,4.0
44,13500,23.0,82.0,0.0,0.0,37.55,29.54,5.0
45,13800,22.0,82.5,0.0,0.0,37.55,29.55,5.25
46,14100,22.5,83.0,0.0,0.0,37.55,29.55,4.0
47,14400,27.0,84.0,0.0,0.0,37.56,29.55,4.0
48,14700,25.5,83.5,0.0,0.0,37.565,29.55,4.5
49,15000,24.333333333333332,83.0,0.0,0.0,37.57,29.56,5.333333333333333
50,15300,25.0,82.33333333333333,0.0,0.0,37.57333333333333,29.56,4.666666666666667
51,15600,21.0,82.0,0.0,0.0,37.58,29.56,4.0
52,15900,21.5,82.0,0.0,0.0,37.582499999999996,29.567499999999995,3.5
53,16200,16.666666666666668,81.33333333333333,0.0,0.0,37.59,29.570000000000004,4.666666666666667
54,16500,27.857142857142858,82.0,0.0,0.0,37.59571428571429,29.569999999999997,3.2857142857142856
55,16800,24.8,82.4,0.0,0.0,37.6,29.576,3.0
56,17100,20.5,83.75,0.0,0.0,37.6,29.58,3.75
57,17400,20.5,83.75,0.0,0.0,37.6,29.58,3.75
58,17700,19.0,82.0,0.0,0.0,37.61,29.59,3.0
59,18000,25.5,84.0,0.0,0.0,37.61,29.59,4.0
60,18300,18.5,83.0,0.0,0.0,37.62,29.59,3.0
61,18600,25.5,82.75,0.0,0.0,37.62,29.59,6.0
62,18900,38.666666666666664,83.66666666666667,0.0,0.0,37.626666666666665,29.600000000000005,4.666666666666667
63,19200,37.6,85.0,0.0,0.0,37.63,29.6,3.6
64,19500,23.666666666666668,83.0,0.0,0.0,37.63666666666667,29.600000000000005,4.0
65,19800,39.333333333333336,85.33333333333333,0.0,0.0,37.64,29.603333333333335,7.0
66,20100,41.333333333333336,88.66666666666667,0.0,0.0,37.65333333333333,29.61,9.666666666666666
67,20400,53.4,87.0,0.0,0.0,37.664,29.613999999999997,14.6
68,20700,47.0,88.5,0.0,0.0,37.67,29.62,15.0
69,21000,41.333333333333336,89.33333333333333,0.0,0.0,37.68,29.626666666666665,11.333333333333334
70,21300,33.0,87.0,0.0,0.0,37.68,29.63,8.0
71,21600,40.75,85.5,0.0,0.0,37.6875,29.63,8.0
