,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,14.0,89.0,0.0,0.0,33.41,25.83,10.5
1,600,47.285714285714285,92.28571428571429,0.0,0.0,33.41,25.837142857142858,2.7142857142857144
2,900,81.25,92.75,0.0,0.0,33.42,25.84,4.5
3,1200,29.333333333333332,74.33333333333333,0.0,0.0,33.42,25.846666666666664,15.333333333333334
4,1500,27.5,76.0,0.0,0.0,33.43,25.85,2.5
5,1800,26.0,76.0,0.0,0.0,33.43,25.85,3.0
6,2100,26.0,76.0,0.0,0.0,33.43,25.85,3.0
7,2400,26.0,76.0,0.0,0.0,33.43,25.85,3.0
8,2700,26.0,76.0,0.0,0.0,33.43,25.85,3.0
9,3000,26.0,76.0,0.0,0.0,33.43,25.85,3.0
10,3300,26.0,76.0,0.0,0.0,33.43,25.85,3.0
11,3600,26.0,76.0,0.0,0.0,33.43,25.85,3.0
12,3900,26.0,76.0,0.0,0.0,33.43,25.85,3.0
13,4200,26.0,76.0,0.0,0.0,33.43,25.85,3.0
14,4500,26.0,76.0,0.0,0.0,33.43,25.85,3.0
15,4800,26.0,76.0,0.0,0.0,33.43,25.85,3.0
16,5100,26.0,76.0,0.0,0.0,33.43,25.85,3.0
17,5400,40.0,77.0,0.0,0.0,33.48,25.89,3.0
18,5700,41.5,80.75,0.0,0.0,33.48,25.89,3.25
19,6000,24.6,77.4,0.0,0.0,33.48800000000001,25.889999999999997,2.2
20,6300,20.333333333333332,76.0,0.0,0.0,33.49,25.896666666666665,3.6666666666666665
21,6600,24.0,78.0,0.0,0.0,33.49333333333334,25.900000000000002,4.777777777777778
22,6900,22.571428571428573,78.85714285714286,0.0,0.0,33.5,25.900000000000002,2.7142857142857144
23,7200,24.5,81.0,0.0,0.0,33.5,25.91,8.0
24,7500,27.0,82.0,0.0,0.0,33.51,25.910000000000004,4.0
25,7800,27.5,82.5,0.0,0.0,33.515,25.9125,3.75
26,8100,29.0,82.0,0.0,0.0,33.52,25.92,5.0
27,8400,30.666666666666668,80.33333333333333,0.0,0.0,33.52333333333333,25.92,4.0
28,8700,25.0,79.25,0.0,0.0,33.53,25.9225,3.5
29,9000,22.166666666666668,77.66666666666667,0.0,0.0,33.54,25.930000000000003,3.0
30,9300,29.666666666666668,78.0,0.0,0.0,33.54,25.929999999999996,2.6666666666666665
31,9600,32.0,79.0,0.0,0.0,33.54666666666667,25.929999999999996,4.0
32,9900,27.0,78.66666666666667,0.0,0.0,33.55,25.929999999999996,3.6666666666666665
33,10200,18.5,78.25,0.0,0.0,33.55,25.94,3.5
34,10500,23.5,79.0,0.0,0.0,33.56,25.94,4.5
35,10800,22.0,79.5,0.0,0.0,33.56,25.94,3.0
36,11100,27.833333333333332,81.66666666666667,0.0,0.0,33.565,25.94,3.0
37,11400,22.5,82.75,0.0,0.0,33.58,25.95,2.25
38,11700,23.333333333333332,82.33333333333333,0.0,0.0,33.58,25.95,3.0
39,12000,18.0,79.33333333333333,0.0,0.0,33.586666666666666,25.95,3.3333333333333335
40,12300,22.5,79.5,0.0,0.0,33.59,25.95,3.5
41,12600,29.0,83.0,0.0,0.0,33.593333333333334,25.956666666666667,3.6666666666666665
42,12900,23.25,81.25,0.0,0.0,33.6,25.96,3.25
43,13200,20.0,79.4,0.0,0.0,33.6,25.96,2.6
44,13500,26.5,81.5,0.0,0.0,33.61,25.96,4.5
45,13800,23.5,81.5,0.0,0.0,33.61,25.965,4.5
46,14100,29.6,83.2,0.0,0.0,33.62,25.97,3.6
47,14400,34.0,87.0,0.0,0.0,33.625,25.97,3.5
48,14700,34.0,87.0,0.0,0.0,33.625,25.97,3.5
49,15000,34.0,87.0,0.0,0.0,33.625,25.97,3.5
50,15300,34.0,87.0,0.0,0.0,33.625,25.97,3.5
51,15600,34.0,87.0,0.0,0.0,33.625,25.97,3.5
52,15900,34.0,87.0,0.0,0.0,33.625,25.97,3.5
