,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,12.714285714285714,89.0,0.0,0.0,33.41,25.82999999999999,2.857142857142857
1,600,67.8,93.2,0.0,0.0,33.41,25.838,4.4
2,900,82.0,96.0,0.0,0.0,33.42,25.84,5.0
3,1200,32.75,74.0,0.0,0.0,33.42,25.847499999999997,3.75
4,1500,26.5,75.5,0.0,0.0,33.43,25.85,3.0
5,1800,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
6,2100,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
7,2400,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
8,2700,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
9,3000,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
10,3300,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
11,3600,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
12,3900,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
13,4200,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
14,4500,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
15,4800,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
16,5100,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
17,5400,25.666666666666668,76.66666666666667,0.0,0.0,33.43,25.850000000000005,2.3333333333333335
18,5700,35.333333333333336,80.0,0.0,0.0,33.48,25.89,3.3333333333333335
19,6000,26.857142857142858,77.57142857142857,0.0,0.0,33.487142857142864,25.889999999999993,3.4285714285714284
20,6300,17.8,75.8,0.0,0.0,33.49,25.892000000000003,3.2
21,6600,24.5,78.0,0.0,0.0,33.4925,25.9,5.25
22,6900,21.0,79.0,0.0,0.0,33.5,25.9,3.0
23,7200,25.75,81.5,0.0,0.0,33.5025,25.91,6.0
24,7500,28.0,84.0,0.0,0.0,33.51,25.91,4.0
25,7800,25.75,82.25,0.0,0.0,33.515,25.91,3.5
26,8100,31.333333333333332,82.0,0.0,0.0,33.52,25.92,4.333333333333333
27,8400,22.5,79.5,0.0,0.0,33.53,25.92,4.0
28,8700,22.5,79.5,0.0,0.0,33.53,25.92,4.0
29,9000,22.5,78.33333333333333,0.0,0.0,33.53333333333333,25.930000000000003,5.333333333333333
30,9300,29.666666666666668,77.33333333333333,0.0,0.0,33.54,25.929999999999996,3.3333333333333335
31,9600,33.0,78.66666666666667,0.0,0.0,33.54,25.929999999999996,3.0
32,9900,25.0,78.66666666666667,0.0,0.0,33.55,25.929999999999996,3.6666666666666665
33,10200,23.25,78.25,0.0,0.0,33.55,25.94,3.5
34,10500,24.444444444444443,79.44444444444444,0.0,0.0,33.558888888888895,25.94,3.0
35,10800,23.5,79.0,0.0,0.0,33.56,25.94,6.0
36,11100,22.0,81.0,0.0,0.0,33.57,25.94,3.0
37,11400,31.5,84.5,0.0,0.0,33.57,25.95,5.5
38,11700,27.666666666666668,82.33333333333333,0.0,0.0,33.58,25.95,3.0
39,12000,17.666666666666668,79.33333333333333,0.0,0.0,33.583333333333336,25.95,3.6666666666666665
40,12300,17.666666666666668,79.33333333333333,0.0,0.0,33.583333333333336,25.95,3.6666666666666665
41,12600,24.5,82.0,0.0,0.0,33.6,25.96,3.0
42,12900,27.0,82.5,0.0,0.0,33.6,25.96,3.0
43,13200,25.0,80.0,0.0,0.0,33.6,25.96,4.0
44,13500,28.0,82.5,0.0,0.0,33.61,25.96,3.0
45,13800,21.0,81.0,0.0,0.0,33.61,25.96,4.0
46,14100,29.0,83.5,0.0,0.0,33.62,25.97,4.5
47,14400,35.2,86.4,0.0,0.0,33.623999999999995,25.97,3.2
48,14700,35.2,86.4,0.0,0.0,33.623999999999995,25.97,3.2
49,15000,35.2,86.4,0.0,0.0,33.623999999999995,25.97,3.2
50,15300,35.2,86.4,0.0,0.0,33.623999999999995,25.97,3.2
51,15600,35.2,86.4,0.0,0.0,33.623999999999995,25.97,3.2
52,15900,35.2,86.4,0.0,0.0,33.623999999999995,25.97,3.2
53,16200,35.2,86.4,0.0,0.0,33.623999999999995,25.97,3.2
54,16500,24.666666666666668,84.33333333333333,0.0,0.0,33.66,25.99,4.0
55,16800,23.166666666666668,84.5,0.0,0.0,33.66,25.998333333333335,3.5
56,17100,22.5,85.0,0.0,0.0,33.67,26.0,4.0
57,17400,37.25,88.0,0.0,0.0,33.67,26.0,5.0
58,17700,33.833333333333336,89.83333333333333,0.0,0.0,33.678333333333335,26.00333333333333,8.0
59,18000,30.5,89.5,0.0,0.0,33.68,26.01,10.5
60,18300,36.5,87.0,0.0,0.0,33.68,26.01,6.0
61,18600,30.5,85.75,0.0,0.0,33.6875,26.0175,3.75
62,18900,34.0,85.5,0.0,0.0,33.69,26.02,4.0
63,19200,34.0,85.5,0.0,0.0,33.69,26.02,4.0
64,19500,23.666666666666668,83.66666666666667,0.0,0.0,33.7,26.03,8.333333333333334
65,19800,42.333333333333336,87.0,0.0,0.0,33.70666666666667,26.03,6.666666666666667
66,20100,51.0,88.5,0.0,0.0,33.715,26.03,10.0
67,20400,53.75,89.0,0.0,0.0,33.7225,26.04,17.0
68,20700,45.0,93.0,0.0,0.0,33.74,26.05,11.0
69,21000,49.5,91.83333333333333,0.0,0.0,33.74,26.05,14.0
70,21300,49.5,91.83333333333333,0.0,0.0,33.74,26.05,14.0
71,21600,31.0,90.0,0.0,0.0,33.75,26.06,6.0
72,21900,54.75,90.5,0.0,0.0,33.76,26.06,8.25
73,22200,39.0,91.0,0.0,0.0,33.76,26.06,5.0
74,22500,55.0,92.5,0.0,0.0,33.775000000000006,26.07,5.5
75,22800,76.5,93.0,0.0,0.0,33.785,26.075,7.0
