,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,16.6,89.2,0.0,0.0,33.41,25.829999999999995,9.2
1,600,69.0,93.0,0.0,0.0,33.41,25.84,5.0
2,900,57.833333333333336,84.33333333333333,0.0,0.0,33.42000000000001,25.84,9.5
3,1200,31.5,76.0,0.0,0.0,33.425,25.85,5.0
4,1500,25.5,75.0,0.0,0.0,33.43,25.85,3.0
5,1800,25.5,75.0,0.0,0.0,33.43,25.85,3.0
6,2100,25.5,75.0,0.0,0.0,33.43,25.85,3.0
7,2400,25.5,75.0,0.0,0.0,33.43,25.85,3.0
8,2700,25.5,75.0,0.0,0.0,33.43,25.85,3.0
9,3000,25.5,75.0,0.0,0.0,33.43,25.85,3.0
10,3300,25.5,75.0,0.0,0.0,33.43,25.85,3.0
11,3600,25.5,75.0,0.0,0.0,33.43,25.85,3.0
12,3900,25.5,75.0,0.0,0.0,33.43,25.85,3.0
13,4200,25.5,75.0,0.0,0.0,33.43,25.85,3.0
14,4500,25.5,75.0,0.0,0.0,33.43,25.85,3.0
15,4800,25.5,75.0,0.0,0.0,33.43,25.85,3.0
16,5100,25.5,75.0,0.0,0.0,33.43,25.85,3.0
17,5400,43.0,79.0,0.0,0.0,33.48,25.89,3.0
18,5700,33.5,79.0,0.0,0.0,33.48,25.89,3.0
19,6000,23.5,77.5,0.0,0.0,33.49,25.89,3.0
20,6300,21.333333333333332,76.16666666666667,0.0,0.0,33.49,25.895,3.8333333333333335
21,6600,23.0,79.0,0.0,0.0,33.5,25.9,4.0
22,6900,23.0,79.0,0.0,0.0,33.5,25.9,4.0
23,7200,24.166666666666668,80.66666666666667,0.0,0.0,33.5,25.91,5.666666666666667
24,7500,24.166666666666668,80.66666666666667,0.0,0.0,33.5,25.91,5.666666666666667
25,7800,27.0,82.5,0.0,0.0,33.5125,25.9125,3.0
26,8100,26.75,82.75,0.0,0.0,33.52,25.92,4.0
27,8400,29.0,79.75,0.0,0.0,33.5275,25.92,4.0
28,8700,24.25,78.875,0.0,0.0,33.53,25.927500000000006,10.25
29,9000,23.5,78.5,0.0,0.0,33.535,25.93,2.5
30,9300,31.25,78.0,0.0,0.0,33.54,25.93,2.75
31,9600,30.0,80.0,0.0,0.0,33.55,25.93,3.0
32,9900,30.0,80.0,0.0,0.0,33.55,25.93,3.0
33,10200,26.0,78.0,0.0,0.0,33.550000000000004,25.94,3.3333333333333335
34,10500,22.8,79.4,0.0,0.0,33.55800000000001,25.940000000000005,3.2
35,10800,23.333333333333332,79.66666666666667,0.0,0.0,33.56,25.94,4.666666666666667
36,11100,26.25,81.75,0.0,0.0,33.567499999999995,25.94,3.0
37,11400,37.0,84.0,0.0,0.0,33.57,25.95,8.0
38,11700,24.0,84.0,0.0,0.0,33.58,25.95,3.0
39,12000,22.666666666666668,79.66666666666667,0.0,0.0,33.586666666666666,25.95,3.6666666666666665
40,12300,23.666666666666668,80.33333333333333,0.0,0.0,33.59,25.95,3.6666666666666665
41,12600,32.75,86.0,0.0,0.0,33.59,25.955,2.75
42,12900,19.0,80.0,0.0,0.0,33.6,25.96,4.0
43,13200,20.6,79.6,0.0,0.0,33.6,25.96,3.2
44,13500,25.333333333333332,80.0,0.0,0.0,33.60666666666667,25.959999999999997,3.0
45,13800,25.333333333333332,81.66666666666667,0.0,0.0,33.61,25.96666666666667,4.0
46,14100,32.5,83.0,0.0,0.0,33.62,25.97,4.5
47,14400,32.5,83.0,0.0,0.0,33.62,25.97,4.5
48,14700,32.5,83.0,0.0,0.0,33.62,25.97,4.5
49,15000,32.5,83.0,0.0,0.0,33.62,25.97,4.5
50,15300,32.5,83.0,0.0,0.0,33.62,25.97,4.5
51,15600,32.5,83.0,0.0,0.0,33.62,25.97,4.5
52,15900,32.5,83.0,0.0,0.0,33.62,25.97,4.5
53,16200,32.5,83.0,0.0,0.0,33.62,25.97,4.5
54,16500,24.0,85.0,0.0,0.0,33.66,25.99,3.6666666666666665
55,16800,23.25,84.75,0.0,0.0,33.66,25.9975,3.5
56,17100,23.25,84.75,0.0,0.0,33.66,25.9975,3.5
57,17400,28.0,87.5,0.0,0.0,33.67,26.0,3.0
58,17700,34.333333333333336,88.33333333333333,0.0,0.0,33.67666666666667,26.003333333333334,8.0
59,18000,28.5,88.0,0.0,0.0,33.68,26.01,13.5
60,18300,31.0,86.75,0.0,0.0,33.68,26.01,7.25
61,18600,34.666666666666664,86.0,0.0,0.0,33.69,26.016666666666666,3.3333333333333335
62,18900,33.666666666666664,87.0,0.0,0.0,33.69,26.02,3.3333333333333335
63,19200,22.0,83.0,0.0,0.0,33.7,26.03,3.0
64,19500,18.5,83.5,0.0,0.0,33.7,26.03,6.0
65,19800,45.0,86.33333333333333,0.0,0.0,33.71,26.03,7.0
66,20100,37.5,87.16666666666667,0.0,0.0,33.714999999999996,26.03,7.666666666666667
67,20400,56.0,88.8,0.0,0.0,33.727999999999994,26.04,13.2
68,20700,45.25,92.0,0.0,0.0,33.74,26.04,18.5
69,21000,48.666666666666664,92.33333333333333,0.0,0.0,33.74,26.05,12.666666666666666
70,21300,37.25,90.25,0.0,0.0,33.75,26.05,6.75
71,21600,40.0,89.5,0.0,0.0,33.75,26.06,5.5
72,21900,46.5,90.5,0.0,0.0,33.76,26.06,3.0
