,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,31.0,86.0,0.0,0.0,39.9,35.44,5.0
3,1200,39.0,86.75,0.0,0.0,39.9075,35.445,3.75
4,1500,37.666666666666664,90.33333333333333,0.0,0.0,39.91,35.45,4.666666666666667
5,1800,37.666666666666664,90.33333333333333,0.0,0.0,39.91,35.45,4.666666666666667
6,2100,28.5,89.0,0.0,0.0,39.92,35.46,5.0
7,2400,28.0,86.5,0.0,0.0,39.925000000000004,35.46,4.75
8,2700,35.875,85.75,0.0,0.0,39.93,35.47,9.375
9,3000,39.333333333333336,86.0,0.0,0.0,39.93,35.47,14.666666666666666
10,3300,35.857142857142854,85.71428571428571,0.0,0.0,39.94,35.48,5.428571428571429
11,3600,27.0,85.0,0.0,0.0,39.94,35.48,3.3333333333333335
12,3900,29.0,87.0,0.0,0.0,39.95,35.49,4.0
13,4200,29.0,87.0,0.0,0.0,39.95,35.49,4.0
14,4500,23.666666666666668,85.33333333333333,0.0,0.0,39.96,35.5,3.3333333333333335
15,4800,44.333333333333336,89.66666666666667,0.0,0.0,39.96,35.5,3.3333333333333335
16,5100,38.5,87.5,0.0,0.0,39.97,35.51,5.5
17,5400,44.5,84.5,0.0,0.0,39.97,35.51,4.5
18,5700,46.333333333333336,86.16666666666667,0.0,0.0,39.98,35.51833333333334,3.5
19,6000,41.166666666666664,83.33333333333333,0.0,0.0,39.983333333333334,35.52,4.0
20,6300,32.5,82.25,0.0,0.0,39.99,35.53,4.0
21,6600,37.0,82.0,0.0,0.0,39.99,35.53,6.0
22,6900,40.285714285714285,85.71428571428571,0.0,0.0,40.0,35.54,3.857142857142857
23,7200,33.8,85.6,0.0,0.0,40.007999999999996,35.541999999999994,5.0
24,7500,41.0,86.66666666666667,0.0,0.0,40.01333333333333,35.55,3.6666666666666665
25,7800,39.0,86.33333333333333,0.0,0.0,40.02,35.55,7.666666666666667
26,8100,31.0,82.5,0.0,0.0,40.03,35.56,6.5
27,8400,35.57142857142857,82.42857142857143,0.0,0.0,40.03000000000001,35.56142857142857,4.142857142857143
28,8700,34.5,81.5,0.0,0.0,40.035,35.57,5.75
29,9000,37.0,82.0,0.0,0.0,40.04,35.57,7.0
30,9300,32.0,81.25,0.0,0.0,40.0475,35.5775,5.0
31,9600,32.0,82.0,0.0,0.0,40.05,35.58,12.0
32,9900,27.8,81.0,0.0,0.0,40.05800000000001,35.583999999999996,6.0
33,10200,29.25,81.25,0.0,0.0,40.06,35.59,4.25
34,10500,29.25,81.25,0.0,0.0,40.06,35.59,4.25
35,10800,33.0,83.5,0.0,0.0,40.07,35.595,4.0
36,11100,33.333333333333336,84.66666666666667,0.0,0.0,40.08,35.6,4.0
37,11400,31.5,85.5,0.0,0.0,40.09,35.6,4.5
38,11700,31.0,84.66666666666667,0.0,0.0,40.09,35.61,3.0
39,12000,30.5,82.33333333333333,0.0,0.0,40.1,35.61000000000001,4.0
40,12300,35.0,84.0,0.0,0.0,40.105000000000004,35.615,3.75
41,12600,42.0,89.0,0.0,0.0,40.11,35.62,4.0
42,12900,40.666666666666664,85.66666666666667,0.0,0.0,40.11333333333334,35.62,5.0
43,13200,34.25,82.25,0.0,0.0,40.12,35.63,6.25
44,13500,33.0,85.25,0.0,0.0,40.1275,35.63,6.5
45,13800,36.0,87.25,0.0,0.0,40.13,35.64,3.25
46,14100,32.0,86.0,0.0,0.0,40.14,35.64,3.5
47,14400,35.5,86.875,0.0,0.0,40.14249999999999,35.63999999999999,4.625
48,14700,34.5,87.0,0.0,0.0,40.15,35.65,4.0
49,15000,36.666666666666664,84.33333333333333,0.0,0.0,40.156666666666666,35.65,6.666666666666667
50,15300,38.0,85.25,0.0,0.0,40.16,35.6575,6.0
51,15600,32.5,85.5,0.0,0.0,40.16,35.66,6.0
52,15900,33.0,86.0,0.0,0.0,40.17,35.66,5.8
53,16200,27.4,85.0,0.0,0.0,40.174,35.67,6.4
54,16500,32.0,84.0,0.0,0.0,40.18,35.67,7.0
55,16800,25.0,85.0,0.0,0.0,40.18,35.68,3.0
56,17100,29.142857142857142,85.42857142857143,0.0,0.0,40.19,35.68,3.4285714285714284
57,17400,37.0,87.5,0.0,0.0,40.19,35.68,4.0
58,17700,37.0,87.5,0.0,0.0,40.19,35.68,4.0
59,18000,28.9,78.8,0.0,0.0,40.209999999999994,35.70199999999999,4.4
60,18300,27.75,79.25,0.0,0.0,40.22,35.71,6.0
61,18600,29.5,79.25,0.0,0.0,40.22,35.715,3.5
62,18900,33.5,81.0,0.0,0.0,40.22,35.72,4.0
63,19200,27.25,78.75,0.0,0.0,40.235,35.724999999999994,3.75
64,19500,23.833333333333332,79.33333333333333,0.0,0.0,40.24,35.73,3.0
65,19800,23.833333333333332,79.33333333333333,0.0,0.0,40.24,35.73,3.0
66,20100,35.75,81.0,0.0,0.0,40.25,35.74,7.75
67,20400,62.25,87.75,0.0,0.0,40.27,35.75,39.5
68,20700,55.333333333333336,87.66666666666667,0.0,0.0,40.28,35.75,21.333333333333332
69,21000,58.0,88.0,0.0,0.0,40.28,35.76,11.0
70,21300,42.333333333333336,86.66666666666667,0.0,0.0,40.28666666666666,35.76333333333333,6.0
71,21600,33.0,83.0,0.0,0.0,40.29,35.77,7.0
72,21900,61.0,88.0,0.0,0.0,40.3,35.776,4.6
73,22200,60.0,87.5,0.0,0.0,40.31,35.78,11.0
74,22500,69.5,89.5,0.0,0.0,40.315,35.79,12.0
75,22800,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
76,23100,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
77,23400,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
78,23700,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
79,24000,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
80,24300,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
81,24600,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
82,24900,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
83,25200,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
84,25500,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
85,25800,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
86,26100,79.33333333333333,93.33333333333333,0.0,0.0,40.336666666666666,35.79666666666667,9.666666666666666
87,26400,44.0,93.5,0.0,0.0,40.43,35.87,8.0
88,26700,45.0,93.0,0.0,0.0,40.44,35.87,6.0
89,27000,45.0,93.0,0.0,0.0,40.44,35.87,6.0
90,27300,36.5,90.5,0.0,0.0,40.45,35.89,5.0
91,27600,45.5,93.0,0.0,0.0,40.455,35.894999999999996,5.5
92,27900,43.0,93.28571428571429,0.0,0.0,40.46,35.9,4.142857142857143
93,28200,42.0,90.0,0.0,0.0,40.47,35.91,5.0
