,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,30.0,86.0,0.0,0.0,39.9,35.44,5.0
3,1200,43.2,87.4,0.0,0.0,39.908,35.448,3.8
4,1500,37.666666666666664,89.0,0.0,0.0,39.91,35.45,4.333333333333333
5,1800,33.0,88.0,0.0,0.0,39.92,35.46,4.0
6,2100,33.666666666666664,89.0,0.0,0.0,39.92,35.46,3.6666666666666665
7,2400,30.5,84.0,0.0,0.0,39.93,35.465,4.5
8,2700,37.666666666666664,85.33333333333333,0.0,0.0,39.93,35.47,9.666666666666666
9,3000,40.857142857142854,86.0,0.0,0.0,39.93714285714286,35.47571428571428,13.0
10,3300,43.0,86.0,0.0,0.0,39.94,35.48,12.0
11,3600,24.0,86.0,0.0,0.0,39.94,35.48,3.0
12,3900,31.0,88.0,0.0,0.0,39.95,35.49,3.5
13,4200,35.0,91.0,0.0,0.0,39.95,35.49,3.0
14,4500,24.5,86.5,0.0,0.0,39.96,35.5,3.75
15,4800,44.4,90.6,0.0,0.0,39.96,35.5,3.2
16,5100,47.0,93.0,0.0,0.0,39.97,35.51,6.0
17,5400,44.0,84.5,0.0,0.0,39.97,35.51,4.25
18,5700,45.8,86.6,0.0,0.0,39.98,35.51800000000001,4.0
19,6000,36.333333333333336,83.0,0.0,0.0,39.98333333333333,35.52,3.6666666666666665
20,6300,34.0,83.0,0.0,0.0,39.99,35.53,3.5
21,6600,38.0,83.0,0.0,0.0,39.99,35.53,3.0
22,6900,39.333333333333336,85.33333333333333,0.0,0.0,40.0,35.54,4.0
23,7200,33.0,87.0,0.0,0.0,40.01,35.54,6.0
24,7500,41.25,86.25,0.0,0.0,40.01,35.55,4.25
25,7800,34.5,85.0,0.0,0.0,40.02,35.555,6.5
26,8100,31.2,84.0,0.0,0.0,40.024,35.56,5.8
27,8400,32.0,83.0,0.0,0.0,40.03,35.57,6.0
28,8700,28.857142857142858,81.42857142857143,0.0,0.0,40.04,35.57,5.571428571428571
29,9000,31.75,82.0,0.0,0.0,40.04,35.57,6.5
30,9300,34.0,81.5,0.0,0.0,40.05,35.58,5.0
31,9600,34.333333333333336,82.0,0.0,0.0,40.05,35.58,7.0
32,9900,30.5,80.83333333333333,0.0,0.0,40.05833333333334,35.58166666666666,4.666666666666667
33,10200,28.0,81.0,0.0,0.0,40.06,35.59,5.0
34,10500,30.5,81.0,0.0,0.0,40.065,35.59,4.5
35,10800,31.0,83.5,0.0,0.0,40.07,35.595,3.5
36,11100,35.8,84.4,0.0,0.0,40.076,35.6,3.4
37,11400,30.666666666666668,86.33333333333333,0.0,0.0,40.09,35.6,5.666666666666667
38,11700,31.666666666666668,85.66666666666667,0.0,0.0,40.09,35.61,3.0
39,12000,32.0,83.0,0.0,0.0,40.1,35.61,4.5
40,12300,39.333333333333336,83.0,0.0,0.0,40.10333333333333,35.61,4.333333333333333
41,12600,41.5,90.0,0.0,0.0,40.11,35.62,5.0
42,12900,29.5,83.75,0.0,0.0,40.1175,35.62,4.75
43,13200,30.5,83.25,0.0,0.0,40.12,35.6275,4.5
44,13500,30.0,85.0,0.0,0.0,40.13,35.63,6.0
45,13800,31.75,86.0,0.0,0.0,40.13,35.63250000000001,4.75
46,14100,33.5,86.25,0.0,0.0,40.14,35.64,3.25
47,14400,33.0,87.0,0.0,0.0,40.142,35.64,3.8
48,14700,30.5,87.0,0.0,0.0,40.15,35.65,3.5
49,15000,34.25,84.75,0.0,0.0,40.155,35.65,7.0
50,15300,35.0,84.0,0.0,0.0,40.16,35.65,8.0
51,15600,34.0,85.2,0.0,0.0,40.17,35.66,7.8
52,15900,37.333333333333336,86.66666666666667,0.0,0.0,40.17,35.663333333333334,6.0
53,16200,26.666666666666668,84.66666666666667,0.0,0.0,40.175000000000004,35.67000000000001,6.333333333333333
54,16500,30.4,85.0,0.0,0.0,40.18,35.67,6.0
55,16800,24.8,84.2,0.0,0.0,40.182,35.678000000000004,3.0
56,17100,30.0,86.0,0.0,0.0,40.19,35.68,4.5
57,17400,41.0,88.0,0.0,0.0,40.19,35.68,4.0
58,17700,41.0,88.0,0.0,0.0,40.19,35.68,4.0
59,18000,31.0,79.66666666666667,0.0,0.0,40.21,35.70666666666667,4.666666666666667
60,18300,30.666666666666668,80.33333333333333,0.0,0.0,40.21333333333333,35.71,3.6666666666666665
61,18600,29.333333333333332,79.66666666666667,0.0,0.0,40.22,35.71666666666667,3.6666666666666665
62,18900,34.6,82.0,0.0,0.0,40.22599999999999,35.72,3.4
63,19200,28.0,79.0,0.0,0.0,40.23,35.72,4.0
64,19500,22.5,79.75,0.0,0.0,40.24,35.73,3.0
65,19800,50.25,83.5,0.0,0.0,40.2475,35.7325,5.75
66,20100,54.0,84.0,0.0,0.0,40.25,35.74,4.0
67,20400,74.75,88.5,0.0,0.0,40.267500000000005,35.75,26.0
68,20700,74.75,88.5,0.0,0.0,40.267500000000005,35.75,26.0
69,21000,53.5,87.5,0.0,0.0,40.28,35.76,16.75
70,21300,39.666666666666664,86.0,0.0,0.0,40.29,35.76666666666667,5.666666666666667
71,21600,34.0,83.0,0.0,0.0,40.29,35.77,7.0
72,21900,68.0,90.0,0.0,0.0,40.3,35.78,5.0
73,22200,52.0,87.75,0.0,0.0,40.31,35.78,13.5
74,22500,65.33333333333333,89.66666666666667,0.0,0.0,40.31666666666666,35.79,13.0
75,22800,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
76,23100,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
77,23400,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
78,23700,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
79,24000,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
80,24300,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
81,24600,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
82,24900,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
83,25200,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
84,25500,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
85,25800,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
86,26100,79.16666666666667,92.5,0.0,0.0,40.335,35.79500000000001,8.5
87,26400,49.0,94.0,0.0,0.0,40.43,35.87,4.0
88,26700,49.0,94.0,0.0,0.0,40.43,35.87,4.0
89,27000,49.0,94.0,0.0,0.0,40.43,35.87,4.0
90,27300,42.0,95.0,0.0,0.0,40.45,35.89,5.0
91,27600,42.0,95.0,0.0,0.0,40.45,35.89,5.0
92,27900,42.75,93.25,0.0,0.0,40.4625,35.9,4.25
93,28200,43.666666666666664,91.0,0.0,0.0,40.47,35.91,4.333333333333333
94,28500,39.75,90.75,0.0,0.0,40.48,35.91,9.0
95,28800,40.0,90.75,0.0,0.0,40.48,35.92,11.25
96,29100,56.333333333333336,94.66666666666667,0.0,0.0,40.49,35.93,9.333333333333334
97,29400,50.2,95.2,0.0,0.0,40.498000000000005,35.932,10.0
98,29700,56.4,87.0,0.0,0.0,40.507999999999996,35.946000000000005,6.0
99,30000,56.5,88.75,0.0,0.0,40.5125,35.95,6.75
