,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,42.0,86.0,0.0,0.0,39.905,35.44,3.5
4,1500,36.0,91.33333333333333,0.0,0.0,39.91,35.45,3.6666666666666665
5,1800,38.285714285714285,90.71428571428571,0.0,0.0,39.92000000000001,35.455714285714286,3.857142857142857
6,2100,32.8,88.6,0.0,0.0,39.92,35.46,4.6
7,2400,26.5,86.25,0.0,0.0,39.925000000000004,35.46,5.0
8,2700,29.5,85.5,0.0,0.0,39.93,35.47,5.0
9,3000,37.0,86.0,0.0,0.0,39.93,35.47,16.0
10,3300,37.0,86.0,0.0,0.0,39.93,35.47,16.0
11,3600,26.0,85.66666666666667,0.0,0.0,39.943333333333335,35.48,3.3333333333333335
12,3900,33.333333333333336,89.33333333333333,0.0,0.0,39.95,35.49,4.0
13,4200,31.142857142857142,90.14285714285714,0.0,0.0,39.955714285714286,35.49142857142858,3.0
14,4500,23.0,86.0,0.0,0.0,39.96,35.5,3.0
15,4800,38.666666666666664,89.66666666666667,0.0,0.0,39.96,35.5,3.0
16,5100,43.333333333333336,87.66666666666667,0.0,0.0,39.97,35.51,5.666666666666667
17,5400,44.75,84.25,0.0,0.0,39.97,35.51,5.0
18,5700,43.0,86.0,0.0,0.0,39.98,35.52,5.0
19,6000,37.5,82.75,0.0,0.0,39.9825,35.52,3.5
20,6300,41.0,83.0,0.0,0.0,39.99,35.53,4.0
21,6600,38.333333333333336,85.33333333333333,0.0,0.0,40.0,35.53,4.333333333333333
22,6900,42.0,86.0,0.0,0.0,40.0,35.535,4.0
23,7200,35.6,85.4,0.0,0.0,40.004,35.541999999999994,4.0
24,7500,35.6,85.4,0.0,0.0,40.004,35.541999999999994,4.0
25,7800,35.6,85.4,0.0,0.0,40.004,35.541999999999994,4.0
26,8100,32.0,84.83333333333333,0.0,0.0,40.02166666666667,35.56,7.666666666666667
27,8400,33.25,82.5,0.0,0.0,40.03,35.567499999999995,4.5
28,8700,31.0,81.5,0.0,0.0,40.04,35.57,5.0
29,9000,32.5,81.0,0.0,0.0,40.04,35.57,9.0
30,9300,32.5,81.0,0.0,0.0,40.05,35.58,5.0
31,9600,34.0,81.5,0.0,0.0,40.05,35.58,8.5
32,9900,30.333333333333332,81.33333333333333,0.0,0.0,40.06,35.583333333333336,3.3333333333333335
33,10200,31.0,82.16666666666667,0.0,0.0,40.06,35.59,3.1666666666666665
34,10500,33.333333333333336,81.0,0.0,0.0,40.06333333333333,35.59,4.333333333333333
35,10800,30.2,83.0,0.0,0.0,40.07,35.596,4.0
36,11100,33.333333333333336,84.66666666666667,0.0,0.0,40.08,35.6,4.333333333333333
37,11400,33.0,85.5,0.0,0.0,40.085,35.6,4.5
38,11700,35.5,85.5,0.0,0.0,40.0925,35.61,3.0
39,12000,35.5,85.5,0.0,0.0,40.0925,35.61,3.0
40,12300,31.0,83.5,0.0,0.0,40.1,35.61,3.0
41,12600,43.0,87.8,0.0,0.0,40.11,35.62,3.8
42,12900,32.857142857142854,84.71428571428571,0.0,0.0,40.112857142857145,35.62,5.285714285714286
43,13200,33.0,82.8,0.0,0.0,40.12,35.63,4.4
44,13500,31.0,85.0,0.0,0.0,40.13,35.63,6.0
45,13800,32.0,86.33333333333333,0.0,0.0,40.13,35.63333333333333,4.0
46,14100,33.0,86.0,0.0,0.0,40.14,35.64,4.0
47,14400,37.0,86.0,0.0,0.0,40.14,35.64,3.5
48,14700,26.333333333333332,86.0,0.0,0.0,40.15,35.65,4.0
49,15000,33.666666666666664,85.0,0.0,0.0,40.15,35.65,7.0
50,15300,39.0,86.0,0.0,0.0,40.16,35.66,6.333333333333333
51,15600,33.0,85.33333333333333,0.0,0.0,40.16,35.66,5.666666666666667
52,15900,33.666666666666664,86.33333333333333,0.0,0.0,40.17,35.666666666666664,4.0
53,16200,29.0,84.0,0.0,0.0,40.18,35.67,5.0
54,16500,27.25,84.25,0.0,0.0,40.18,35.67,5.75
55,16800,28.0,84.5,0.0,0.0,40.185,35.68,3.5
56,17100,30.5,86.0,0.0,0.0,40.19,35.68,3.5
57,17400,30.5,86.0,0.0,0.0,40.19,35.68,3.5
58,17700,30.5,86.0,0.0,0.0,40.19,35.68,3.5
59,18000,32.5,80.5,0.0,0.0,40.21,35.705,7.5
60,18300,31.22222222222222,80.11111111111111,0.0,0.0,40.21666666666667,35.71,5.222222222222222
61,18600,31.5,79.75,0.0,0.0,40.22,35.71,3.5
62,18900,38.0,81.625,0.0,0.0,40.2275,35.72,4.375
63,19200,30.4,79.0,0.0,0.0,40.232,35.721999999999994,3.6
64,19500,25.8,79.4,0.0,0.0,40.24,35.73,3.0
65,19800,25.8,79.4,0.0,0.0,40.24,35.73,3.0
66,20100,37.333333333333336,81.0,0.0,0.0,40.25,35.74,5.666666666666667
67,20400,80.0,87.2,0.0,0.0,40.27,35.75,25.0
68,20700,80.0,87.2,0.0,0.0,40.27,35.75,25.0
69,21000,48.75,86.75,0.0,0.0,40.28,35.76,17.0
70,21300,36.0,86.0,0.0,0.0,40.29,35.76,4.0
71,21600,36.0,86.0,0.0,0.0,40.29,35.76,4.0
72,21900,36.0,86.0,0.0,0.0,40.29,35.76,4.0
73,22200,43.0,85.0,0.0,0.0,40.31,35.78,8.0
74,22500,65.33333333333333,89.33333333333333,0.0,0.0,40.31666666666666,35.78666666666666,9.666666666666666
75,22800,77.0,93.0,0.0,0.0,40.33,35.79,11.0
76,23100,77.0,93.0,0.0,0.0,40.33,35.79,11.0
77,23400,77.0,93.0,0.0,0.0,40.33,35.79,11.0
78,23700,77.0,93.0,0.0,0.0,40.33,35.79,11.0
79,24000,77.0,93.0,0.0,0.0,40.33,35.79,11.0
80,24300,77.0,93.0,0.0,0.0,40.33,35.79,11.0
81,24600,77.0,93.0,0.0,0.0,40.33,35.79,11.0
82,24900,77.0,93.0,0.0,0.0,40.33,35.79,11.0
83,25200,77.0,93.0,0.0,0.0,40.33,35.79,11.0
84,25500,77.0,93.0,0.0,0.0,40.33,35.79,11.0
85,25800,77.0,93.0,0.0,0.0,40.33,35.79,11.0
86,26100,77.0,93.0,0.0,0.0,40.33,35.79,11.0
87,26400,46.5,92.5,0.0,0.0,40.43,35.87,6.0
88,26700,46.5,92.5,0.0,0.0,40.43,35.87,6.0
89,27000,46.5,92.5,0.0,0.0,40.43,35.87,6.0
90,27300,38.25,92.0,0.0,0.0,40.45,35.89,5.75
91,27600,47.0,94.0,0.0,0.0,40.46,35.9,5.333333333333333
92,27900,45.0,94.33333333333333,0.0,0.0,40.46,35.9,4.0
93,28200,41.6,90.2,0.0,0.0,40.47,35.91,5.6
94,28500,47.5,91.5,0.0,0.0,40.474999999999994,35.915,7.0
95,28800,40.0,90.5,0.0,0.0,40.48,35.92,9.5
96,29100,68.0,96.0,0.0,0.0,40.49,35.92,9.0
97,29400,50.0,94.33333333333333,0.0,0.0,40.49666666666667,35.93,6.333333333333333
98,29700,53.75,91.5,0.0,0.0,40.5,35.94,8.0
99,30000,67.0,88.0,0.0,0.0,40.51,35.95,9.0
100,30300,55.5,87.25,0.0,0.0,40.52,35.96,7.5
101,30600,61.0,90.0,0.0,0.0,40.52,35.96,17.0
