,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,32.0,86.0,0.0,0.0,39.9,35.44,5.0
3,1200,41.333333333333336,86.0,0.0,0.0,39.906666666666666,35.44,4.666666666666667
4,1500,37.75,90.5,0.0,0.0,39.91,35.45,4.0
5,1800,44.0,92.0,0.0,0.0,39.92,35.46,5.0
6,2100,31.0,89.0,0.0,0.0,39.92,35.46,5.0
7,2400,25.0,86.5,0.0,0.0,39.925,35.46,4.5
8,2700,36.0,85.0,0.0,0.0,39.93,35.47,7.0
9,3000,42.2,86.4,0.0,0.0,39.934,35.47,14.0
10,3300,38.0,85.5,0.0,0.0,39.94,35.48,4.5
11,3600,25.5,85.5,0.0,0.0,39.945,35.48,3.5
12,3900,33.75,88.5,0.0,0.0,39.95,35.49,3.75
13,4200,33.142857142857146,91.14285714285714,0.0,0.0,39.949999999999996,35.49,3.0
14,4500,26.25,86.5,0.0,0.0,39.96,35.5,3.5
15,4800,46.0,92.5,0.0,0.0,39.96,35.5,3.5
16,5100,43.0,89.33333333333333,0.0,0.0,39.97,35.50666666666666,4.0
17,5400,49.666666666666664,84.33333333333333,0.0,0.0,39.97,35.51,4.666666666666667
18,5700,42.5,86.0,0.0,0.0,39.98,35.52,4.0
19,6000,36.0,82.66666666666667,0.0,0.0,39.98333333333333,35.52,3.0
20,6300,32.5,82.5,0.0,0.0,39.99,35.53,3.5
21,6600,38.8,83.2,0.0,0.0,39.992000000000004,35.53,5.6
22,6900,42.0,86.0,0.0,0.0,40.0,35.54,4.0
23,7200,36.5,85.5,0.0,0.0,40.01,35.54,3.5
24,7500,38.0,85.5,0.0,0.0,40.01,35.55,4.5
25,7800,37.0,86.33333333333333,0.0,0.0,40.02,35.55166666666667,5.5
26,8100,30.5,84.0,0.0,0.0,40.025000000000006,35.56,7.5
27,8400,29.0,82.0,0.0,0.0,40.03,35.56,4.5
28,8700,32.333333333333336,82.33333333333333,0.0,0.0,40.04,35.57,5.333333333333333
29,9000,31.0,81.5,0.0,0.0,40.04,35.57,9.0
30,9300,33.77777777777778,81.33333333333333,0.0,0.0,40.0488888888889,35.57888888888888,7.777777777777778
31,9600,33.0,81.75,0.0,0.0,40.05,35.58,8.25
32,9900,29.0,81.0,0.0,0.0,40.056666666666665,35.583333333333336,3.0
33,10200,32.333333333333336,82.0,0.0,0.0,40.06,35.59,3.6666666666666665
34,10500,31.285714285714285,81.57142857142857,0.0,0.0,40.068571428571424,35.59,4.857142857142857
35,10800,29.0,83.5,0.0,0.0,40.07,35.6,4.0
36,11100,35.2,84.2,0.0,0.0,40.074,35.6,3.6
37,11400,32.25,85.5,0.0,0.0,40.087500000000006,35.602500000000006,4.75
38,11700,37.5,86.5,0.0,0.0,40.09,35.61,3.0
39,12000,34.5,82.5,0.0,0.0,40.1,35.61,5.0
40,12300,39.0,83.5,0.0,0.0,40.11,35.614999999999995,5.0
41,12600,43.5,88.25,0.0,0.0,40.11,35.62,4.25
42,12900,39.666666666666664,86.33333333333333,0.0,0.0,40.11333333333334,35.62,5.333333333333333
43,13200,33.6,82.8,0.0,0.0,40.12,35.63,5.2
44,13500,33.2,86.2,0.0,0.0,40.13,35.63,4.6
45,13800,34.0,85.0,0.0,0.0,40.13,35.63,6.0
46,14100,31.75,85.75,0.0,0.0,40.135000000000005,35.64,3.5
47,14400,33.666666666666664,86.66666666666667,0.0,0.0,40.14333333333334,35.64,5.0
48,14700,41.0,88.0,0.0,0.0,40.15,35.65,4.0
49,15000,36.0,85.0,0.0,0.0,40.15,35.65,5.0
50,15300,38.0,84.66666666666667,0.0,0.0,40.16,35.656666666666666,7.333333333333333
51,15600,32.25,85.25,0.0,0.0,40.165,35.66,8.5
52,15900,31.333333333333332,85.66666666666667,0.0,0.0,40.17,35.663333333333334,7.0
53,16200,25.0,84.33333333333333,0.0,0.0,40.18,35.67,5.0
54,16500,36.0,84.0,0.0,0.0,40.18,35.67,7.0
55,16800,26.2,85.0,0.0,0.0,40.184,35.68,3.6
56,17100,25.0,85.5,0.0,0.0,40.19,35.68,4.0
57,17400,23.0,86.0,0.0,0.0,40.19,35.68,5.0
58,17700,32.0,88.0,0.0,0.0,40.2,35.7,4.0
59,18000,29.333333333333332,79.33333333333333,0.0,0.0,40.21,35.70166666666667,5.166666666666667
60,18300,29.6,80.0,0.0,0.0,40.218,35.71,6.6
61,18600,31.333333333333332,80.0,0.0,0.0,40.22,35.71333333333333,3.0
62,18900,34.5,81.75,0.0,0.0,40.2225,35.72,3.75
63,19200,28.0,80.0,0.0,0.0,40.23,35.72,4.0
64,19500,28.0,80.0,0.0,0.0,40.23,35.72,4.0
65,19800,46.142857142857146,83.42857142857143,0.0,0.0,40.244285714285716,35.73285714285714,6.571428571428571
66,20100,59.333333333333336,85.33333333333333,0.0,0.0,40.25333333333333,35.74,11.0
67,20400,64.66666666666667,85.0,0.0,0.0,40.26333333333333,35.74333333333333,19.666666666666668
68,20700,58.5,87.25,0.0,0.0,40.275000000000006,35.75,28.5
69,21000,53.333333333333336,89.0,0.0,0.0,40.28,35.76,13.0
70,21300,44.75,86.5,0.0,0.0,40.29,35.7625,6.75
71,21600,36.5,83.0,0.0,0.0,40.29,35.77,6.0
72,21900,36.5,83.0,0.0,0.0,40.29,35.77,6.0
73,22200,59.5,88.5,0.0,0.0,40.305,35.78,14.0
74,22500,65.8,88.8,0.0,0.0,40.315999999999995,35.788,11.0
75,22800,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
76,23100,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
77,23400,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
78,23700,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
79,24000,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
80,24300,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
81,24600,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
82,24900,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
83,25200,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
84,25500,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
85,25800,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
86,26100,77.8,92.8,0.0,0.0,40.332,35.794000000000004,9.4
87,26400,50.0,91.25,0.0,0.0,40.4325,35.87,7.5
88,26700,50.0,91.25,0.0,0.0,40.4325,35.87,7.5
89,27000,50.0,91.25,0.0,0.0,40.4325,35.87,7.5
90,27300,37.0,93.0,0.0,0.0,40.45,35.89,8.0
91,27600,46.0,92.5,0.0,0.0,40.455,35.894999999999996,5.5
92,27900,38.0,92.5,0.0,0.0,40.46,35.9,3.5
93,28200,40.6,90.6,0.0,0.0,40.47,35.908,5.8
94,28500,45.333333333333336,90.0,0.0,0.0,40.47333333333333,35.913333333333334,9.333333333333334
95,28800,40.0,90.0,0.0,0.0,40.48333333333333,35.92,11.666666666666666
96,29100,58.5,95.0,0.0,0.0,40.49,35.93,10.0
97,29400,51.0,95.5,0.0,0.0,40.5,35.93,5.75
98,29700,52.666666666666664,88.33333333333333,0.0,0.0,40.50666666666666,35.943333333333335,6.0
99,30000,61.75,89.25,0.0,0.0,40.51,35.95,7.0
