,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,35.0,89.0,0.0,0.0,43.41,34.6,8.0
18,5700,37.5,90.5,0.0,0.0,43.42,34.6,2.0
19,6000,30.0,87.0,0.0,0.0,43.42,34.61,2.0
20,6300,25.8,85.8,0.0,0.0,43.43,34.61,2.4
21,6600,26.5,87.0,0.0,0.0,43.43,34.6125,2.25
22,6900,25.5,87.0,0.0,0.0,43.44,34.62,2.5
23,7200,21.333333333333332,86.0,0.0,0.0,43.44,34.62,9.0
24,7500,40.0,88.0,0.0,0.0,43.45,34.625,4.0
25,7800,27.5,88.5,0.0,0.0,43.45250000000001,34.63,4.0
26,8100,21.0,87.5,0.0,0.0,43.46,34.635000000000005,5.0
27,8400,24.5,84.0,0.0,0.0,43.46,34.64,2.5
28,8700,22.666666666666668,84.66666666666667,0.0,0.0,43.47,34.63999999999999,5.666666666666667
29,9000,31.0,86.0,0.0,0.0,43.474999999999994,34.644999999999996,5.0
30,9300,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
31,9600,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
32,9900,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
33,10200,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
34,10500,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
35,10800,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
36,11100,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
37,11400,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
38,11700,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
39,12000,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
40,12300,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
41,12600,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
42,12900,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
43,13200,37.333333333333336,85.0,0.0,0.0,43.48,34.65,3.3333333333333335
44,13500,26.0,75.0,0.0,0.0,43.57,34.69,7.0
45,13800,28.5,75.0,0.0,0.0,43.57,34.69,6.5
46,14100,31.0,76.75,0.0,0.0,43.575,34.695,3.5
47,14400,32.0,78.0,0.0,0.0,43.58,34.7,3.0
48,14700,26.6,79.0,0.0,0.0,43.59,34.7,5.4
49,15000,33.75,77.25,0.0,0.0,43.595,34.71,7.0
50,15300,33.75,77.25,0.0,0.0,43.595,34.71,7.0
51,15600,33.75,77.25,0.0,0.0,43.595,34.71,7.0
52,15900,33.75,77.25,0.0,0.0,43.595,34.71,7.0
53,16200,33.75,77.25,0.0,0.0,43.595,34.71,7.0
54,16500,33.75,77.25,0.0,0.0,43.595,34.71,7.0
55,16800,22.0,76.0,0.0,0.0,43.63,34.73,4.0
56,17100,28.0,77.42857142857143,0.0,0.0,43.63,34.73,2.5714285714285716
57,17400,35.333333333333336,79.66666666666667,0.0,0.0,43.63666666666668,34.73,4.0
58,17700,33.166666666666664,79.16666666666667,0.0,0.0,43.63999999999999,34.73833333333334,4.5
59,18000,29.25,79.25,0.0,0.0,43.64,34.74,2.75
60,18300,32.333333333333336,81.66666666666667,0.0,0.0,43.65,34.74,5.0
61,18600,35.6,82.2,0.0,0.0,43.65,34.748000000000005,4.8
62,18900,28.6,80.8,0.0,0.0,43.65599999999999,34.75,4.4
63,19200,27.833333333333332,81.16666666666667,0.0,0.0,43.66666666666668,34.75,13.0
64,19500,19.333333333333332,79.0,0.0,0.0,43.669999999999995,34.76,40.333333333333336
65,19800,19.333333333333332,79.0,0.0,0.0,43.669999999999995,34.76,40.333333333333336
66,20100,19.333333333333332,79.0,0.0,0.0,43.669999999999995,34.76,40.333333333333336
67,20400,19.333333333333332,79.0,0.0,0.0,43.669999999999995,34.76,40.333333333333336
68,20700,19.333333333333332,79.0,0.0,0.0,43.669999999999995,34.76,40.333333333333336
69,21000,19.333333333333332,79.0,0.0,0.0,43.669999999999995,34.76,40.333333333333336
70,21300,40.0,86.0,0.0,0.0,43.72,34.785,8.5
71,21600,50.25,86.0,0.0,0.0,43.73,34.792500000000004,8.0
72,21900,50.0,86.5,0.0,0.0,43.737500000000004,34.8,8.5
73,22200,50.0,86.5,0.0,0.0,43.737500000000004,34.8,8.5
74,22500,50.0,86.5,0.0,0.0,43.737500000000004,34.8,8.5
75,22800,50.0,86.5,0.0,0.0,43.737500000000004,34.8,8.5
76,23100,50.0,86.5,0.0,0.0,43.737500000000004,34.8,8.5
77,23400,50.0,86.5,0.0,0.0,43.737500000000004,34.8,8.5
78,23700,54.666666666666664,87.66666666666667,0.0,0.0,43.79999999999999,34.82333333333333,9.666666666666666
79,24000,57.833333333333336,89.0,0.0,0.0,43.81333333333333,34.82999999999999,8.166666666666666
80,24300,56.666666666666664,91.0,0.0,0.0,43.82,34.836666666666666,8.333333333333334
81,24600,47.0,90.0,0.0,0.0,43.83,34.84,8.0
82,24900,58.25,93.0,0.0,0.0,43.84,34.845,8.5
83,25200,47.0,90.0,0.0,0.0,43.84,34.85,7.333333333333333
84,25500,43.666666666666664,81.33333333333333,0.0,0.0,43.85333333333333,34.85333333333333,6.0
85,25800,58.5,81.5,0.0,0.0,43.86,34.86,10.0
86,26100,44.333333333333336,83.66666666666667,0.0,0.0,43.87,34.86666666666667,7.0
87,26400,48.0,86.0,0.0,0.0,43.87,34.87,6.0
88,26700,36.0,84.0,0.0,0.0,43.88,34.87,6.0
89,27000,50.5,90.0,0.0,0.0,43.885000000000005,34.88,5.0
90,27300,38.0,86.71428571428571,0.0,0.0,43.88999999999999,34.88428571428572,4.142857142857143
91,27600,42.857142857142854,88.42857142857143,0.0,0.0,43.89714285714285,34.88999999999999,5.285714285714286
92,27900,45.0,88.0,0.0,0.0,43.9,34.894999999999996,5.0
93,28200,37.0,85.0,0.0,0.0,43.90333333333333,34.9,3.3333333333333335
94,28500,41.4,86.6,0.0,0.0,43.912,34.908,10.2
95,28800,44.0,88.8,0.0,0.0,43.92,34.91,9.0
96,29100,60.0,92.0,0.0,0.0,43.92,34.91,9.0
