,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,33.5,87.5,0.0,0.0,43.41,34.6,8.0
18,5700,37.666666666666664,89.0,0.0,0.0,43.413333333333334,34.6,5.333333333333333
19,6000,55.0,88.0,0.0,0.0,43.419999999999995,34.61,3.3333333333333335
20,6300,26.333333333333332,85.33333333333333,0.0,0.0,43.43,34.61,2.3333333333333335
21,6600,23.666666666666668,86.66666666666667,0.0,0.0,43.43,34.61666666666667,2.0
22,6900,26.25,86.0,0.0,0.0,43.44,34.62,3.0
23,7200,22.0,86.5,0.0,0.0,43.44,34.62,7.5
24,7500,34.5,88.0,0.0,0.0,43.449999999999996,34.63,3.5
25,7800,29.6,88.0,0.0,0.0,43.45,34.63,4.8
26,8100,23.25,86.0,0.0,0.0,43.46,34.635000000000005,5.5
27,8400,23.6,84.6,0.0,0.0,43.464,34.64,3.2
28,8700,26.5,85.0,0.0,0.0,43.47,34.64,11.5
29,9000,24.5,85.5,0.0,0.0,43.474999999999994,34.64,4.5
30,9300,32.0,86.0,0.0,0.0,43.48,34.65,5.0
31,9600,32.0,86.0,0.0,0.0,43.48,34.65,5.0
32,9900,32.0,86.0,0.0,0.0,43.48,34.65,5.0
33,10200,32.0,86.0,0.0,0.0,43.48,34.65,5.0
34,10500,32.0,86.0,0.0,0.0,43.48,34.65,5.0
35,10800,32.0,86.0,0.0,0.0,43.48,34.65,5.0
36,11100,32.0,86.0,0.0,0.0,43.48,34.65,5.0
37,11400,32.0,86.0,0.0,0.0,43.48,34.65,5.0
38,11700,32.0,86.0,0.0,0.0,43.48,34.65,5.0
39,12000,32.0,86.0,0.0,0.0,43.48,34.65,5.0
40,12300,32.0,86.0,0.0,0.0,43.48,34.65,5.0
41,12600,32.0,86.0,0.0,0.0,43.48,34.65,5.0
42,12900,32.0,86.0,0.0,0.0,43.48,34.65,5.0
43,13200,32.0,86.0,0.0,0.0,43.48,34.65,5.0
44,13500,32.0,86.0,0.0,0.0,43.48,34.65,5.0
45,13800,29.0,78.0,0.0,0.0,43.57,34.69,7.0
46,14100,27.333333333333332,75.33333333333333,0.0,0.0,43.580000000000005,34.7,4.0
47,14400,34.666666666666664,78.66666666666667,0.0,0.0,43.583333333333336,34.7,4.0
48,14700,25.666666666666668,78.66666666666667,0.0,0.0,43.59,34.7,4.666666666666667
49,15000,34.0,76.66666666666667,0.0,0.0,43.6,34.71,8.666666666666666
50,15300,34.0,76.66666666666667,0.0,0.0,43.6,34.71,8.666666666666666
51,15600,34.0,76.66666666666667,0.0,0.0,43.6,34.71,8.666666666666666
52,15900,34.0,76.66666666666667,0.0,0.0,43.6,34.71,8.666666666666666
53,16200,34.0,76.66666666666667,0.0,0.0,43.6,34.71,8.666666666666666
54,16500,25.0,78.0,0.0,0.0,43.62,34.73,3.0
55,16800,23.75,75.75,0.0,0.0,43.63,34.73,4.0
56,17100,28.0,77.66666666666667,0.0,0.0,43.63,34.73,2.3333333333333335
57,17400,36.0,80.0,0.0,0.0,43.64,34.73,4.0
58,17700,35.5,81.0,0.0,0.0,43.64,34.735,4.0
59,18000,28.0,79.33333333333333,0.0,0.0,43.64333333333334,34.74,5.0
60,18300,28.0,79.33333333333333,0.0,0.0,43.64333333333334,34.74,5.0
61,18600,38.5,82.0,0.0,0.0,43.65,34.7475,4.75
62,18900,29.6,80.0,0.0,0.0,43.66,34.75,3.8
63,19200,30.333333333333332,80.33333333333333,0.0,0.0,43.666666666666664,34.75333333333333,9.0
64,19500,19.0,78.5,0.0,0.0,43.67,34.76,58.0
65,19800,19.0,78.5,0.0,0.0,43.67,34.76,58.0
66,20100,19.0,78.5,0.0,0.0,43.67,34.76,58.0
67,20400,19.0,78.5,0.0,0.0,43.67,34.76,58.0
68,20700,19.0,78.5,0.0,0.0,43.67,34.76,58.0
69,21000,19.0,78.5,0.0,0.0,43.67,34.76,58.0
70,21300,74.0,92.0,0.0,0.0,43.72,34.79,5.0
71,21600,55.5,85.5,0.0,0.0,43.724999999999994,34.79,12.0
72,21900,47.333333333333336,85.33333333333333,0.0,0.0,43.73333333333333,34.8,7.333333333333333
73,22200,44.5,86.5,0.0,0.0,43.74,34.8,7.0
74,22500,44.5,86.5,0.0,0.0,43.74,34.8,7.0
75,22800,44.5,86.5,0.0,0.0,43.74,34.8,7.0
76,23100,44.5,86.5,0.0,0.0,43.74,34.8,7.0
77,23400,44.5,86.5,0.0,0.0,43.74,34.8,7.0
78,23700,49.666666666666664,88.0,0.0,0.0,43.80666666666667,34.83,9.666666666666666
79,24000,59.0,88.5,0.0,0.0,43.81,34.83,11.0
80,24300,57.0,90.0,0.0,0.0,43.82,34.835,8.5
81,24600,48.0,90.0,0.0,0.0,43.83,34.84,6.0
82,24900,64.0,94.0,0.0,0.0,43.84,34.85,7.0
83,25200,41.5,84.5,0.0,0.0,43.845,34.85,7.0
84,25500,45.5,81.5,0.0,0.0,43.85,34.86,11.0
85,25800,53.142857142857146,82.57142857142857,0.0,0.0,43.86000000000001,34.86000000000001,11.142857142857142
86,26100,46.666666666666664,83.33333333333333,0.0,0.0,43.86666666666667,34.86333333333334,8.333333333333334
87,26400,41.4,85.2,0.0,0.0,43.872,34.87,5.8
88,26700,35.75,84.0,0.0,0.0,43.88,34.872499999999995,5.5
89,27000,44.0,86.66666666666667,0.0,0.0,43.88,34.88,9.333333333333334
90,27300,45.8,88.8,0.0,0.0,43.89,34.882000000000005,3.8
91,27600,41.0,88.0,0.0,0.0,43.89,34.89,6.0
92,27900,33.0,87.0,0.0,0.0,43.9,34.9,3.0
93,28200,36.5,86.0,0.0,0.0,43.905,34.9,3.5
94,28500,41.0,86.0,0.0,0.0,43.91,34.906666666666666,6.666666666666667
95,28800,43.2,88.8,0.0,0.0,43.92,34.91,8.8
96,29100,59.666666666666664,91.66666666666667,0.0,0.0,43.93,34.92,6.0
97,29400,59.666666666666664,91.66666666666667,0.0,0.0,43.93,34.92,6.0
98,29700,59.666666666666664,91.66666666666667,0.0,0.0,43.93,34.92,6.0
99,30000,59.666666666666664,91.66666666666667,0.0,0.0,43.93,34.92,6.0
100,30300,59.666666666666664,91.66666666666667,0.0,0.0,43.93,34.92,6.0
101,30600,59.666666666666664,91.66666666666667,0.0,0.0,43.93,34.92,6.0
