,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,39.0,90.5,0.0,0.0,43.42,34.605000000000004,2.0
19,6000,28.0,87.0,0.0,0.0,43.419999999999995,34.61,4.0
20,6300,29.0,86.0,0.0,0.0,43.43,34.61,2.3333333333333335
21,6600,26.0,86.4,0.0,0.0,43.43,34.61,2.6
22,6900,24.0,86.0,0.0,0.0,43.44,34.62,3.0
23,7200,22.0,86.0,0.0,0.0,43.44,34.62,6.0
24,7500,36.333333333333336,87.66666666666667,0.0,0.0,43.45000000000001,34.626666666666665,4.0
25,7800,30.5,89.0,0.0,0.0,43.455,34.63,4.0
26,8100,25.8,85.2,0.0,0.0,43.46,34.64,3.2
27,8400,21.0,84.33333333333333,0.0,0.0,43.46333333333333,34.64,3.0
28,8700,26.75,85.5,0.0,0.0,43.47,34.64,5.0
29,9000,28.0,86.0,0.0,0.0,43.47333333333333,34.63999999999999,5.166666666666667
30,9300,35.25,85.0,0.0,0.0,43.48,34.65,4.5
31,9600,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
32,9900,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
33,10200,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
34,10500,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
35,10800,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
36,11100,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
37,11400,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
38,11700,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
39,12000,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
40,12300,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
41,12600,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
42,12900,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
43,13200,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
44,13500,32.666666666666664,84.66666666666667,0.0,0.0,43.48,34.65,4.0
45,13800,27.833333333333332,76.0,0.0,0.0,43.57,34.69,3.8333333333333335
46,14100,29.666666666666668,77.0,0.0,0.0,43.57333333333333,34.693333333333335,2.3333333333333335
47,14400,31.5,78.0,0.0,0.0,43.58,34.7,4.5
48,14700,30.5,79.5,0.0,0.0,43.59,34.7,7.0
49,15000,30.5,79.5,0.0,0.0,43.59,34.7,7.0
50,15300,30.5,79.5,0.0,0.0,43.59,34.7,7.0
51,15600,30.5,79.5,0.0,0.0,43.59,34.7,7.0
52,15900,30.5,79.5,0.0,0.0,43.59,34.7,7.0
53,16200,30.5,79.5,0.0,0.0,43.59,34.7,7.0
54,16500,25.666666666666668,78.33333333333333,0.0,0.0,43.62,34.72666666666666,3.6666666666666665
55,16800,24.666666666666668,76.66666666666667,0.0,0.0,43.63,34.73,3.0
56,17100,28.5,77.0,0.0,0.0,43.63,34.73,2.5
57,17400,28.5,77.0,0.0,0.0,43.63,34.73,2.5
58,17700,37.333333333333336,79.33333333333333,0.0,0.0,43.64000000000001,34.74,5.0
59,18000,29.375,79.625,0.0,0.0,43.64374999999999,34.74,3.375
60,18300,31.0,80.8,0.0,0.0,43.65,34.74,5.0
61,18600,31.5,81.5,0.0,0.0,43.65,34.745000000000005,4.5
62,18900,29.666666666666668,80.66666666666667,0.0,0.0,43.65833333333333,34.75,3.8333333333333335
63,19200,32.25,82.25,0.0,0.0,43.67,34.7525,15.25
64,19500,23.0,79.5,0.0,0.0,43.67,34.76,15.5
65,19800,23.0,79.5,0.0,0.0,43.67,34.76,15.5
66,20100,23.0,79.5,0.0,0.0,43.67,34.76,15.5
67,20400,23.0,79.5,0.0,0.0,43.67,34.76,15.5
68,20700,23.0,79.5,0.0,0.0,43.67,34.76,15.5
69,21000,23.0,79.5,0.0,0.0,43.67,34.76,15.5
70,21300,39.42857142857143,85.42857142857143,0.0,0.0,43.71999999999999,34.78857142857142,8.857142857142858
71,21600,39.42857142857143,85.42857142857143,0.0,0.0,43.71999999999999,34.78857142857142,8.857142857142858
72,21900,50.0,88.0,0.0,0.0,43.74,34.8,5.0
73,22200,47.666666666666664,87.33333333333333,0.0,0.0,43.74,34.8,7.0
74,22500,47.666666666666664,87.33333333333333,0.0,0.0,43.74,34.8,7.0
75,22800,47.666666666666664,87.33333333333333,0.0,0.0,43.74,34.8,7.0
76,23100,47.666666666666664,87.33333333333333,0.0,0.0,43.74,34.8,7.0
77,23400,47.666666666666664,87.33333333333333,0.0,0.0,43.74,34.8,7.0
78,23700,49.0,88.0,0.0,0.0,43.81,34.83,7.0
79,24000,57.0,88.0,0.0,0.0,43.81,34.83,14.0
80,24300,61.25,90.5,0.0,0.0,43.822500000000005,34.837500000000006,7.5
81,24600,50.8,88.2,0.0,0.0,43.83,34.84,8.4
82,24900,54.333333333333336,91.33333333333333,0.0,0.0,43.84,34.843333333333334,9.0
83,25200,40.0,80.0,0.0,0.0,43.85,34.85,8.0
84,25500,38.5,81.5,0.0,0.0,43.85,34.86,12.0
85,25800,38.5,81.5,0.0,0.0,43.85,34.86,12.0
86,26100,46.0,83.66666666666667,0.0,0.0,43.86666666666667,34.86333333333334,8.333333333333334
87,26400,44.8,85.0,0.0,0.0,43.87,34.87,4.4
88,26700,36.333333333333336,83.33333333333333,0.0,0.0,43.88,34.873333333333335,5.333333333333333
89,27000,46.0,88.5,0.0,0.0,43.88,34.88,8.5
90,27300,36.0,84.5,0.0,0.0,43.89,34.885000000000005,3.0
91,27600,48.25,88.5,0.0,0.0,43.895,34.89,3.75
92,27900,40.8,88.2,0.0,0.0,43.9,34.896,4.6
93,28200,36.0,86.66666666666667,0.0,0.0,43.906666666666666,34.9,3.3333333333333335
94,28500,42.333333333333336,84.0,0.0,0.0,43.91,34.9,6.666666666666667
95,28800,46.25,89.5,0.0,0.0,43.92,34.91,8.25
96,29100,57.333333333333336,92.33333333333333,0.0,0.0,43.92666666666667,34.916666666666664,7.333333333333333
97,29400,57.333333333333336,92.33333333333333,0.0,0.0,43.92666666666667,34.916666666666664,7.333333333333333
