,time_stamp,cpu_util_percent,mem_util_percent,mem_gps,mkpi,net_in,net_out,disk_io_percent
0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,5100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,5700,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,6000,40.5,87.5,0.0,0.0,43.42,34.61,3.5
20,6300,28.0,86.0,0.0,0.0,43.43,34.61,3.0
21,6600,27.0,86.0,0.0,0.0,43.43,34.62,2.0
22,6900,24.5,86.0,0.0,0.0,43.44,34.62,2.5
23,7200,23.5,86.25,0.0,0.0,43.44,34.62,5.0
24,7500,31.428571428571427,87.57142857142857,0.0,0.0,43.44857142857143,34.628571428571426,3.857142857142857
25,7800,31.428571428571427,87.57142857142857,0.0,0.0,43.44857142857143,34.628571428571426,3.857142857142857
26,8100,26.0,88.0,0.0,0.0,43.46,34.63,8.0
27,8400,22.666666666666668,84.33333333333333,0.0,0.0,43.46666666666667,34.64,4.0
28,8700,29.6,85.4,0.0,0.0,43.47,34.64,7.4
29,9000,30.0,85.5,0.0,0.0,43.474999999999994,34.64,4.0
30,9300,38.5,86.0,0.0,0.0,43.48,34.65,4.0
31,9600,26.5,85.0,0.0,0.0,43.485,34.65,4.5
32,9900,26.5,85.0,0.0,0.0,43.485,34.65,4.5
33,10200,26.5,85.0,0.0,0.0,43.485,34.65,4.5
34,10500,26.5,85.0,0.0,0.0,43.485,34.65,4.5
35,10800,26.5,85.0,0.0,0.0,43.485,34.65,4.5
36,11100,26.5,85.0,0.0,0.0,43.485,34.65,4.5
37,11400,26.5,85.0,0.0,0.0,43.485,34.65,4.5
38,11700,26.5,85.0,0.0,0.0,43.485,34.65,4.5
39,12000,26.5,85.0,0.0,0.0,43.485,34.65,4.5
40,12300,26.5,85.0,0.0,0.0,43.485,34.65,4.5
41,12600,26.5,85.0,0.0,0.0,43.485,34.65,4.5
42,12900,26.5,85.0,0.0,0.0,43.485,34.65,4.5
43,13200,26.5,85.0,0.0,0.0,43.485,34.65,4.5
44,13500,30.0,75.0,0.0,0.0,43.57,34.69,4.0
45,13800,29.166666666666668,77.0,0.0,0.0,43.57,34.69,4.166666666666667
46,14100,28.5,76.75,0.0,0.0,43.572500000000005,34.692499999999995,2.5
47,14400,32.5,77.5,0.0,0.0,43.58,34.7,3.5
48,14700,25.0,79.0,0.0,0.0,43.59,34.7,4.0
49,15000,30.333333333333332,78.0,0.0,0.0,43.593333333333334,34.71,8.333333333333334
50,15300,30.333333333333332,78.0,0.0,0.0,43.593333333333334,34.71,8.333333333333334
51,15600,30.333333333333332,78.0,0.0,0.0,43.593333333333334,34.71,8.333333333333334
52,15900,30.333333333333332,78.0,0.0,0.0,43.593333333333334,34.71,8.333333333333334
53,16200,30.333333333333332,78.0,0.0,0.0,43.593333333333334,34.71,8.333333333333334
54,16500,30.333333333333332,78.0,0.0,0.0,43.593333333333334,34.71,8.333333333333334
55,16800,24.0,76.25,0.0,0.0,43.6275,34.73,3.5
56,17100,28.0,77.5,0.0,0.0,43.63,34.73,2.5
57,17400,35.6,80.0,0.0,0.0,43.634,34.73,3.4
58,17700,38.0,82.0,0.0,0.0,43.64,34.74,3.0
59,18000,31.333333333333332,79.66666666666667,0.0,0.0,43.64666666666667,34.74,3.0
60,18300,30.666666666666668,80.33333333333333,0.0,0.0,43.65,34.74,4.666666666666667
61,18600,34.0,81.0,0.0,0.0,43.65,34.75,4.0
62,18900,30.75,80.5,0.0,0.0,43.6575,34.75,3.75
63,19200,48.333333333333336,85.0,0.0,0.0,43.669999999999995,34.75,9.0
64,19500,48.333333333333336,85.0,0.0,0.0,43.669999999999995,34.75,9.0
65,19800,48.333333333333336,85.0,0.0,0.0,43.669999999999995,34.75,9.0
66,20100,48.333333333333336,85.0,0.0,0.0,43.669999999999995,34.75,9.0
67,20400,48.333333333333336,85.0,0.0,0.0,43.669999999999995,34.75,9.0
68,20700,48.333333333333336,85.0,0.0,0.0,43.669999999999995,34.75,9.0
69,21000,48.333333333333336,85.0,0.0,0.0,43.669999999999995,34.75,9.0
70,21300,40.666666666666664,83.66666666666667,0.0,0.0,43.72,34.79,9.0
71,21600,38.333333333333336,83.66666666666667,0.0,0.0,43.72666666666666,34.79,12.0
72,21900,46.0,85.0,0.0,0.0,43.735,34.8,5.0
73,22200,46.0,85.0,0.0,0.0,43.735,34.8,5.0
74,22500,46.0,85.0,0.0,0.0,43.735,34.8,5.0
75,22800,46.0,85.0,0.0,0.0,43.735,34.8,5.0
76,23100,46.0,85.0,0.0,0.0,43.735,34.8,5.0
77,23400,46.0,85.0,0.0,0.0,43.735,34.8,5.0
78,23700,48.333333333333336,87.0,0.0,0.0,43.79999999999999,34.82666666666667,10.333333333333334
79,24000,56.0,89.5,0.0,0.0,43.815,34.83,7.0
80,24300,60.0,89.5,0.0,0.0,43.825,34.835,9.0
81,24600,49.5,90.0,0.0,0.0,43.83,34.84,6.0
82,24900,54.0,92.0,0.0,0.0,43.84,34.843333333333334,6.0
83,25200,45.5,83.0,0.0,0.0,43.85,34.85,6.5
84,25500,46.0,82.4,0.0,0.0,43.85,34.85600000000001,9.0
85,25800,48.75,81.75,0.0,0.0,43.86,34.86,10.0
86,26100,48.0,83.5,0.0,0.0,43.864999999999995,34.864999999999995,9.0
87,26400,47.0,86.0,0.0,0.0,43.87,34.87,3.0
88,26700,33.666666666666664,82.0,0.0,0.0,43.88,34.88,4.0
89,27000,48.5,88.75,0.0,0.0,43.88250000000001,34.88,6.0
90,27300,37.75,86.5,0.0,0.0,43.89,34.885000000000005,3.5
91,27600,48.5,88.0,0.0,0.0,43.89,34.89,5.5
92,27900,37.666666666666664,89.33333333333333,0.0,0.0,43.9,34.89333333333334,4.0
93,28200,37.666666666666664,89.33333333333333,0.0,0.0,43.9,34.89333333333334,4.0
94,28500,43.0,84.5,0.0,0.0,43.91,34.9,8.0
95,28800,45.5,90.0,0.0,0.0,43.92,34.91,8.5
96,29100,61.0,92.0,0.0,0.0,43.93,34.92,9.0
97,29400,61.0,92.0,0.0,0.0,43.93,34.92,9.0
98,29700,61.0,92.0,0.0,0.0,43.93,34.92,9.0
99,30000,61.0,92.0,0.0,0.0,43.93,34.92,9.0
100,30300,61.0,92.0,0.0,0.0,43.93,34.92,9.0
101,30600,61.0,92.0,0.0,0.0,43.93,34.92,9.0
